,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
3800,96BNX5,Bedrijfsauto,IVECO,02/01/2021 12:00:00 AM,2021-02-01
3954,96BPT1,Bus,HEULIEZ BUS,01/13/2021 12:00:00 AM,2021-01-13
3978,96BPX2,Bedrijfsauto,MAN,03/26/2021 12:00:00 AM,2021-03-26
3993,96BPZ4,Bedrijfsauto,MERCEDES-BENZ,01/13/2021 12:00:00 AM,2021-01-13
3998,96BPZ9,Bedrijfsauto,MERCEDES-BENZ,01/28/2021 12:00:00 AM,2021-01-28
4005,96BRB4,Bedrijfsauto,SCANIA,01/06/2021 12:00:00 AM,2021-01-06
4010,96BRB9,Bedrijfsauto,VOLVO,01/04/2021 12:00:00 AM,2021-01-04
4016,96BRD1,Bedrijfsauto,IVECO,01/13/2021 12:00:00 AM,2021-01-13
4017,96BRD3,Bedrijfsauto,VOLVO,01/04/2021 12:00:00 AM,2021-01-04
4018,96BRD4,Bedrijfsauto,VOLVO,01/05/2021 12:00:00 AM,2021-01-05
4019,96BRD6,Bedrijfsauto,IVECO,01/05/2021 12:00:00 AM,2021-01-05
4020,96BRD8,Bus,MERCEDES-BENZ,06/30/2021 12:00:00 AM,2021-06-30
4021,96BRD9,Bedrijfsauto,MERCEDES-BENZ,03/29/2021 12:00:00 AM,2021-03-29
4029,96BRF2,Bedrijfsauto,DAF,01/29/2021 12:00:00 AM,2021-01-29
4030,96BRF3,Bedrijfsauto,SCANIA,01/06/2021 12:00:00 AM,2021-01-06
4031,96BRF5,Bedrijfsauto,MERCEDES-BENZ,01/08/2021 12:00:00 AM,2021-01-08
4034,96BRF8,Bedrijfsauto,DAF,01/14/2021 12:00:00 AM,2021-01-14
4035,96BRF9,Bedrijfsauto,RENAULT,01/15/2021 12:00:00 AM,2021-01-15
4040,96BRG2,Bedrijfsauto,MERCEDES-BENZ,01/20/2021 12:00:00 AM,2021-01-20
4041,96BRG3,Bedrijfsauto,DAF,01/21/2021 12:00:00 AM,2021-01-21
4042,96BRG4,Bedrijfsauto,MERCEDES-BENZ,01/25/2021 12:00:00 AM,2021-01-25
4045,96BRG7,Bedrijfsauto,SCANIA,02/02/2021 12:00:00 AM,2021-02-02
4046,96BRG8,Bedrijfsauto,SCANIA,04/01/2021 12:00:00 AM,2021-04-01
4047,96BRG9,Bedrijfsauto,DAF,01/07/2021 12:00:00 AM,2021-01-07
4049,96BRH1,Bedrijfsauto,SCANIA,02/16/2021 12:00:00 AM,2021-02-16
4050,96BRH2,Bedrijfsauto,MERCEDES-BENZ,02/10/2021 12:00:00 AM,2021-02-10
4051,96BRH3,Bedrijfsauto,DAF,03/29/2021 12:00:00 AM,2021-03-29
4053,96BRH5,Bedrijfsauto,SCANIA,02/17/2021 12:00:00 AM,2021-02-17
4054,96BRH6,Bedrijfsauto,SCANIA,03/01/2021 12:00:00 AM,2021-03-01
4056,96BRH8,Bedrijfsauto,SCANIA,02/23/2021 12:00:00 AM,2021-02-23
4062,96BRJ2,Bedrijfsauto,VOLVO,03/29/2021 12:00:00 AM,2021-03-29
4063,96BRJ3,Bedrijfsauto,DAF,03/17/2021 12:00:00 AM,2021-03-17
4064,96BRJ9,Bedrijfsauto,VOLVO,03/12/2021 12:00:00 AM,2021-03-12
4070,96BRK2,Bedrijfsauto,DAF,04/29/2021 12:00:00 AM,2021-04-29
4071,96BRK3,Bedrijfsauto,VOLVO,04/01/2021 12:00:00 AM,2021-04-01
4072,96BRK4,Bedrijfsauto,DAF,06/17/2021 12:00:00 AM,2021-06-17
4073,96BRK6,Bedrijfsauto,VOLVO,06/03/2021 12:00:00 AM,2021-06-03
4074,96BRK7,Bedrijfsauto,VOLVO,04/23/2021 12:00:00 AM,2021-04-23
4075,96BRK8,Bedrijfsauto,VOLVO,04/09/2021 12:00:00 AM,2021-04-09
