,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
4083,96BRL1,Bedrijfsauto,DAF,04/09/2021 12:00:00 AM,2021-04-09
4084,96BRL3,Bedrijfsauto,DAF,05/14/2021 12:00:00 AM,2021-05-14
4085,96BRL4,Bedrijfsauto,DAF,04/23/2021 12:00:00 AM,2021-04-23
4087,96BRL7,Bedrijfsauto,SCANIA,07/15/2021 12:00:00 AM,2021-07-15
4088,96BRL8,Bedrijfsauto,SCANIA,05/06/2021 12:00:00 AM,2021-05-06
4089,96BRL9,Bedrijfsauto,SCANIA,04/21/2021 12:00:00 AM,2021-04-21
4094,96BRN1,Bedrijfsauto,SCANIA,05/06/2021 12:00:00 AM,2021-05-06
4095,96BRN2,Bedrijfsauto,VOLVO,04/28/2021 12:00:00 AM,2021-04-28
4096,96BRN4,Bedrijfsauto,MAN,04/29/2021 12:00:00 AM,2021-04-29
4097,96BRN5,Bedrijfsauto,DAF,08/20/2021 12:00:00 AM,2021-08-20
4099,96BRN8,Bedrijfsauto,DAF,05/05/2021 12:00:00 AM,2021-05-05
4100,96BRN9,Bedrijfsauto,MERCEDES-BENZ,05/06/2021 12:00:00 AM,2021-05-06
4107,96BRP3,Bedrijfsauto,DAF,07/06/2021 12:00:00 AM,2021-07-06
4108,96BRP5,Bedrijfsauto,VOLVO,05/19/2021 12:00:00 AM,2021-05-19
4109,96BRP6,Bedrijfsauto,VOLVO,06/04/2021 12:00:00 AM,2021-06-04
4118,96BRR2,Bedrijfsauto,SCANIA,08/04/2021 12:00:00 AM,2021-08-04
4121,96BRR7,Bedrijfsauto,SCANIA,07/22/2021 12:00:00 AM,2021-07-22
4122,96BRR8,Bedrijfsauto,MERCEDES-BENZ,06/14/2021 12:00:00 AM,2021-06-14
4125,96BRS1,Bedrijfsauto,VOLVO,07/27/2021 12:00:00 AM,2021-07-27
4126,96BRS2,Bedrijfsauto,MERCEDES-BENZ,06/18/2021 12:00:00 AM,2021-06-18
4127,96BRS3,Bedrijfsauto,DAF,06/22/2021 12:00:00 AM,2021-06-22
4128,96BRS4,Bedrijfsauto,DAF,07/06/2021 12:00:00 AM,2021-07-06
4129,96BRS5,Bedrijfsauto,MERCEDES-BENZ,06/24/2021 12:00:00 AM,2021-06-24
4130,96BRS6,Bedrijfsauto,DAF,09/27/2021 12:00:00 AM,2021-09-27
4131,96BRS7,Bedrijfsauto,MERCEDES-BENZ,06/29/2021 12:00:00 AM,2021-06-29
4132,96BRS9,Bedrijfsauto,VOLVO,07/02/2021 12:00:00 AM,2021-07-02
4139,96BRT1,Bedrijfsauto,VOLVO,07/28/2021 12:00:00 AM,2021-07-28
4140,96BRT2,Bedrijfsauto,VOLVO,07/09/2021 12:00:00 AM,2021-07-09
4141,96BRT3,Bedrijfsauto,DAF,08/26/2021 12:00:00 AM,2021-08-26
4143,96BRT5,Bedrijfsauto,MERCEDES-BENZ,07/29/2021 12:00:00 AM,2021-07-29
4144,96BRT6,Bedrijfsauto,MERCEDES-BENZ,07/15/2021 12:00:00 AM,2021-07-15
4145,96BRT7,Bedrijfsauto,SCANIA,07/16/2021 12:00:00 AM,2021-07-16
4154,96BRV2,Bedrijfsauto,MAN,08/24/2021 12:00:00 AM,2021-08-24
4156,96BRV5,Bus,EBUSCO,09/13/2021 12:00:00 AM,2021-09-13
4158,96BRV7,Bedrijfsauto,VOLVO,08/13/2021 12:00:00 AM,2021-08-13
4159,96BRV8,Bedrijfsauto,MAN,08/23/2021 12:00:00 AM,2021-08-23
4166,96BRX3,Bedrijfsauto,VOLVO,09/06/2021 12:00:00 AM,2021-09-06
4167,96BRX4,Bedrijfsauto,DAF,10/04/2021 12:00:00 AM,2021-10-04
4169,96BRX6,Bedrijfsauto,VOLVO,01/27/2021 12:00:00 AM,2021-01-27
4171,96BRX8,Bedrijfsauto,MAN,09/07/2021 12:00:00 AM,2021-09-07
4172,96BRX9,Bedrijfsauto,DAF,10/22/2021 12:00:00 AM,2021-10-22
4177,96BRZ2,Bedrijfsauto,VOLVO,10/27/2021 12:00:00 AM,2021-10-27
4178,96BRZ4,Bedrijfsauto,MAN,10/26/2021 12:00:00 AM,2021-10-26
4179,96BRZ5,Bedrijfsauto,VOLVO,09/21/2021 12:00:00 AM,2021-09-21
4180,96BRZ6,Bedrijfsauto,SCANIA,10/07/2021 12:00:00 AM,2021-10-07
4181,96BRZ9,Bedrijfsauto,DAF,10/01/2021 12:00:00 AM,2021-10-01
4185,96BSB1,Bedrijfsauto,VOLVO,11/23/2021 12:00:00 AM,2021-11-23
4187,96BSB4,Bedrijfsauto,DAF,10/07/2021 12:00:00 AM,2021-10-07
4188,96BSB5,Bedrijfsauto,MAN,10/13/2021 12:00:00 AM,2021-10-13
4189,96BSB6,Bedrijfsauto,DAF,10/25/2021 12:00:00 AM,2021-10-25
4190,96BSB7,Bedrijfsauto,SCANIA,10/19/2021 12:00:00 AM,2021-10-19
4191,96BSB8,Bedrijfsauto,MAN,10/26/2021 12:00:00 AM,2021-10-26
4192,96BSB9,Bedrijfsauto,DAF,11/25/2021 12:00:00 AM,2021-11-25
4207,96BSF2,Bedrijfsauto,SCANIA,10/21/2021 12:00:00 AM,2021-10-21
4210,96BSF5,Bedrijfsauto,MAN,10/27/2021 12:00:00 AM,2021-10-27
4213,96BSF8,Bedrijfsauto,VOLVO,11/03/2021 12:00:00 AM,2021-11-03
4222,96BSG3,Bedrijfsauto,MERCEDES-BENZ,11/10/2021 12:00:00 AM,2021-11-10
4223,96BSG4,Bedrijfsauto,VOLVO,11/30/2021 12:00:00 AM,2021-11-30
4230,96BSH1,Bedrijfsauto,DAF,11/25/2021 12:00:00 AM,2021-11-25
4232,96BSH3,Bus,SOLARIS,12/16/2021 12:00:00 AM,2021-12-16
4235,96BSH7,Bedrijfsauto,DAF,12/09/2021 12:00:00 AM,2021-12-09
4237,96BSH9,Bedrijfsauto,MERCEDES-BENZ,11/18/2021 12:00:00 AM,2021-11-18
21780,96MJDJ,Motorfiets,ZERO MOTORCYCLES,04/23/2021 12:00:00 AM,2021-04-23
22579,96MNLB,Motorfiets,KTM,01/02/2021 12:00:00 AM,2021-01-02
22601,96MNNL,Motorfiets,HARLEY DAVIDSON,01/12/2021 12:00:00 AM,2021-01-12
22602,96MNNN,Motorfiets,MOTO GUZZI of piaggio & C,05/15/2021 12:00:00 AM,2021-05-15
22608,96MNNX,Motorfiets,HUSQVARNA,02/01/2021 12:00:00 AM,2021-02-01
22609,96MNNZ,Motorfiets,KTM,01/08/2021 12:00:00 AM,2021-01-08
22610,96MNPB,Motorfiets,ROYAL ENFIELD,01/09/2021 12:00:00 AM,2021-01-09
22613,96MNPG,Motorfiets,HARLEY DAVIDSON,02/03/2021 12:00:00 AM,2021-02-03
22615,96MNPJ,Motorfiets,VENT S.R.L.,01/14/2021 12:00:00 AM,2021-01-14
22628,96MNRG,Motorfiets,DUCATI,02/15/2021 12:00:00 AM,2021-02-15
22629,96MNRH,Motorfiets,KTM,02/11/2021 12:00:00 AM,2021-02-11
22633,96MNRN,Motorfiets,HUSQVARNA,02/27/2021 12:00:00 AM,2021-02-27
22635,96MNRR,Motorfiets,KTM,02/20/2021 12:00:00 AM,2021-02-20
22637,96MNRT,Motorfiets,SUZUKI,02/27/2021 12:00:00 AM,2021-02-27
22638,96MNRV,Motorfiets,PIAGGIO,03/06/2021 12:00:00 AM,2021-03-06
22639,96MNRX,Motorfiets,KAWASAKI,03/01/2021 12:00:00 AM,2021-03-01
22641,96MNSF,Motorfiets,SUZUKI,02/27/2021 12:00:00 AM,2021-02-27
22644,96MNSJ,Motorfiets,BMW,03/02/2021 12:00:00 AM,2021-03-02
22647,96MNSN,Motorfiets,BMW,03/09/2021 12:00:00 AM,2021-03-09
22648,96MNSP,Motorfiets,YAMAHA,03/04/2021 12:00:00 AM,2021-03-04
22651,96MNSV,Motorfiets,TRIUMPH,03/11/2021 12:00:00 AM,2021-03-11
22653,96MNSZ,Motorfiets,HONDA,03/17/2021 12:00:00 AM,2021-03-17
22655,96MNTD,Motorfiets,BMW,03/16/2021 12:00:00 AM,2021-03-16
22658,96MNTH,Motorfiets,HONDA,04/14/2021 12:00:00 AM,2021-04-14
22659,96MNTJ,Motorfiets,DUCATI,03/19/2021 12:00:00 AM,2021-03-19
22661,96MNTL,Motorfiets,KAWASAKI,03/20/2021 12:00:00 AM,2021-03-20
22663,96MNTP,Motorfiets,KAWASAKI,03/23/2021 12:00:00 AM,2021-03-23
22667,96MNTV,Motorfiets,BMW,03/24/2021 12:00:00 AM,2021-03-24
22670,96MNVB,Motorfiets,HONDA,04/29/2021 12:00:00 AM,2021-04-29
22672,96MNVF,Motorfiets,HONDA,05/12/2021 12:00:00 AM,2021-05-12
22674,96MNVH,Motorfiets,BMW,03/31/2021 12:00:00 AM,2021-03-31
22675,96MNVJ,Motorfiets,DUCATI,04/01/2021 12:00:00 AM,2021-04-01
22676,96MNVK,Motorfiets,BMW,03/31/2021 12:00:00 AM,2021-03-31
22677,96MNVL,Motorfiets,KTM,04/03/2021 12:00:00 AM,2021-04-03
22678,96MNVN,Motorfiets,BMW,04/02/2021 12:00:00 AM,2021-04-02
22679,96MNVP,Motorfiets,HONDA,04/03/2021 12:00:00 AM,2021-04-03
22683,96MNVV,Motorfiets,HONDA,04/03/2021 12:00:00 AM,2021-04-03
22684,96MNVX,Motorfiets,KAWASAKI,04/10/2021 12:00:00 AM,2021-04-10
22685,96MNVZ,Motorfiets,KAWASAKI,04/09/2021 12:00:00 AM,2021-04-09
22687,96MNXD,Motorfiets,HARLEY DAVIDSON,04/21/2021 12:00:00 AM,2021-04-21
22689,96MNXG,Motorfiets,KAWASAKI,04/15/2021 12:00:00 AM,2021-04-15
22691,96MNXJ,Motorfiets,KAWASAKI,04/22/2021 12:00:00 AM,2021-04-22
22693,96MNXL,Motorfiets,DUCATI,04/15/2021 12:00:00 AM,2021-04-15
22694,96MNXN,Motorfiets,YAMAHA,04/20/2021 12:00:00 AM,2021-04-20
22695,96MNXP,Motorfiets,KAWASAKI,04/15/2021 12:00:00 AM,2021-04-15
22704,96MNZG,Motorfiets,YAMAHA,04/24/2021 12:00:00 AM,2021-04-24
22707,96MNZL,Motorfiets,YAMAHA,04/29/2021 12:00:00 AM,2021-04-29
22708,96MNZN,Motorfiets,KTM,05/21/2021 12:00:00 AM,2021-05-21
22709,96MNZP,Motorfiets,BMW,05/05/2021 12:00:00 AM,2021-05-05
22710,96MNZR,Motorfiets,KAWASAKI,04/30/2021 12:00:00 AM,2021-04-30
22712,96MNZT,Motorfiets,YAMAHA,05/03/2021 12:00:00 AM,2021-05-03
22714,96MNZZ,Motorfiets,YAMAHA,04/30/2021 12:00:00 AM,2021-04-30
22715,96MPBB,Motorfiets,KAWASAKI,05/12/2021 12:00:00 AM,2021-05-12
22716,96MPBF,Motorfiets,MV AGUSTA,05/07/2021 12:00:00 AM,2021-05-07
22717,96MPBG,Motorfiets,BMW,05/12/2021 12:00:00 AM,2021-05-12
22719,96MPBJ,Motorfiets,BMW,05/20/2021 12:00:00 AM,2021-05-20
22720,96MPBK,Motorfiets,HONDA,05/07/2021 12:00:00 AM,2021-05-07
22721,96MPBL,Motorfiets,BMW,05/11/2021 12:00:00 AM,2021-05-11
22722,96MPBN,Motorfiets,TRIUMPH,05/11/2021 12:00:00 AM,2021-05-11
22724,96MPBR,Motorfiets,KAWASAKI,05/12/2021 12:00:00 AM,2021-05-12
22726,96MPBT,Motorfiets,TRIUMPH,05/17/2021 12:00:00 AM,2021-05-17
22729,96MPBZ,Motorfiets,HARLEY DAVIDSON,06/03/2021 12:00:00 AM,2021-06-03
22732,96MPDF,Motorfiets,SUZUKI,05/22/2021 12:00:00 AM,2021-05-22
22733,96MPDG,Motorfiets,PIAGGIO,05/19/2021 12:00:00 AM,2021-05-19
22735,96MPDJ,Motorfiets,HARLEY DAVIDSON,06/05/2021 12:00:00 AM,2021-06-05
22738,96MPDN,Motorfiets,KAWASAKI,05/27/2021 12:00:00 AM,2021-05-27
22744,96MPDX,Motorfiets,BMW,05/31/2021 12:00:00 AM,2021-05-31
22745,96MPDZ,Motorfiets,KTM,05/29/2021 12:00:00 AM,2021-05-29
22746,96MPFB,Motorfiets,YAMAHA,05/27/2021 12:00:00 AM,2021-05-27
22748,96MPFF,Motorfiets,YAMAHA,06/05/2021 12:00:00 AM,2021-06-05
22750,96MPFH,Motorfiets,HUSQVARNA,08/19/2021 12:00:00 AM,2021-08-19
22751,96MPFK,Motorfiets,KTM,06/05/2021 12:00:00 AM,2021-06-05
22752,96MPFL,Motorfiets,TRIUMPH,07/24/2021 12:00:00 AM,2021-07-24
22753,96MPFN,Motorfiets,HONDA,06/05/2021 12:00:00 AM,2021-06-05
22754,96MPFP,Motorfiets,PIAGGIO,06/08/2021 12:00:00 AM,2021-06-08
22755,96MPFR,Motorfiets,HONDA,06/08/2021 12:00:00 AM,2021-06-08
22759,96MPFX,Motorfiets,HONDA,06/09/2021 12:00:00 AM,2021-06-09
22761,96MPGB,Motorfiets,KAWASAKI,06/10/2021 12:00:00 AM,2021-06-10
22762,96MPGD,Motorfiets,YAMAHA,07/08/2021 12:00:00 AM,2021-07-08
22763,96MPGF,Motorfiets,HONDA,06/09/2021 12:00:00 AM,2021-06-09
22771,96MPGR,Motorfiets,TRIUMPH,06/17/2021 12:00:00 AM,2021-06-17
22772,96MPGS,Motorfiets,YAMAHA,06/19/2021 12:00:00 AM,2021-06-19
22773,96MPGT,Motorfiets,ROYAL ENFIELD,06/17/2021 12:00:00 AM,2021-06-17
22774,96MPGV,Motorfiets,BMW,07/05/2021 12:00:00 AM,2021-07-05
22777,96MPHB,Motorfiets,YAMAHA,06/18/2021 12:00:00 AM,2021-06-18
22778,96MPHD,Motorfiets,TRIUMPH,07/01/2021 12:00:00 AM,2021-07-01
22780,96MPHG,Motorfiets,PIAGGIO,06/25/2021 12:00:00 AM,2021-06-25
22782,96MPHJ,Motorfiets,HONDA,06/30/2021 12:00:00 AM,2021-06-30
22784,96MPHL,Motorfiets,YAMAHA,06/29/2021 12:00:00 AM,2021-06-29
22786,96MPHP,Motorfiets,SUZUKI,07/13/2021 12:00:00 AM,2021-07-13
22787,96MPHR,Motorfiets,BMW,06/26/2021 12:00:00 AM,2021-06-26
22788,96MPHS,Motorfiets,YAMAHA,07/01/2021 12:00:00 AM,2021-07-01
22791,96MPHZ,Motorfiets,PIAGGIO,07/07/2021 12:00:00 AM,2021-07-07
22792,96MPJB,Motorfiets,KAWASAKI,07/03/2021 12:00:00 AM,2021-07-03
22798,96MPJL,Motorfiets,SUZUKI,07/09/2021 12:00:00 AM,2021-07-09
22803,96MPJT,Motorfiets,YAMAHA,07/16/2021 12:00:00 AM,2021-07-16
22807,96MPKB,Motorfiets,BMW,07/14/2021 12:00:00 AM,2021-07-14
22808,96MPKD,Motorfiets,ROYAL ENFIELD,07/16/2021 12:00:00 AM,2021-07-16
22811,96MPKH,Motorfiets,INDIAN MOTORCYCLE,08/06/2021 12:00:00 AM,2021-08-06
22813,96MPKK,Motorfiets,DUCATI,07/27/2021 12:00:00 AM,2021-07-27
22814,96MPKL,Motorfiets,HONDA,07/24/2021 12:00:00 AM,2021-07-24
22815,96MPKN,Motorfiets,KAWASAKI,07/24/2021 12:00:00 AM,2021-07-24
22818,96MPKS,Motorfiets,PIAGGIO,08/06/2021 12:00:00 AM,2021-08-06
22819,96MPKT,Motorfiets,YAMAHA,07/29/2021 12:00:00 AM,2021-07-29
22820,96MPKV,Motorfiets,TRIUMPH,08/04/2021 12:00:00 AM,2021-08-04
22821,96MPKX,Motorfiets,KAWASAKI,07/30/2021 12:00:00 AM,2021-07-30
22823,96MPLB,Motorfiets,KTM,08/05/2021 12:00:00 AM,2021-08-05
22825,96MPLF,Motorfiets,YAMAHA,08/12/2021 12:00:00 AM,2021-08-12
22827,96MPLH,Motorfiets,KAWASAKI,08/07/2021 12:00:00 AM,2021-08-07
22833,96MPLR,Motorfiets,HONDA,08/20/2021 12:00:00 AM,2021-08-20
22835,96MPLT,Motorfiets,TRIUMPH,09/01/2021 12:00:00 AM,2021-09-01
22836,96MPLV,Motorfiets,TRIUMPH,08/20/2021 12:00:00 AM,2021-08-20
22838,96MPLZ,Motorfiets,HONDA,08/20/2021 12:00:00 AM,2021-08-20
22839,96MPNB,Motorfiets,PIAGGIO,08/19/2021 12:00:00 AM,2021-08-19
22840,96MPND,Motorfiets,HARLEY DAVIDSON,09/02/2021 12:00:00 AM,2021-09-02
22841,96MPNF,Motorfiets,YAMAHA,09/01/2021 12:00:00 AM,2021-09-01
22843,96MPNH,Motorfiets,YAMAHA,09/13/2021 12:00:00 AM,2021-09-13
22844,96MPNJ,Motorfiets,SUZUKI,08/26/2021 12:00:00 AM,2021-08-26
22846,96MPNL,Motorfiets,TRIUMPH,09/01/2021 12:00:00 AM,2021-09-01
22847,96MPNN,Motorfiets,KAWASAKI,08/27/2021 12:00:00 AM,2021-08-27
22849,96MPNR,Motorfiets,KAWASAKI,09/04/2021 12:00:00 AM,2021-09-04
22850,96MPNS,Motorfiets,HARLEY DAVIDSON,09/03/2021 12:00:00 AM,2021-09-03
22852,96MPNV,Motorfiets,HARLEY DAVIDSON,09/02/2021 12:00:00 AM,2021-09-02
22853,96MPNX,Motorfiets,KTM,09/15/2021 12:00:00 AM,2021-09-15
22856,96MPPD,Motorfiets,KAWASAKI,09/09/2021 12:00:00 AM,2021-09-09
22860,96MPPJ,Motorfiets,TRIUMPH,09/10/2021 12:00:00 AM,2021-09-10
22862,96MPPL,Motorfiets,TRIUMPH,09/17/2021 12:00:00 AM,2021-09-17
22866,96MPPS,Motorfiets,SUZUKI,09/20/2021 12:00:00 AM,2021-09-20
22867,96MPPT,Motorfiets,HARLEY DAVIDSON,09/24/2021 12:00:00 AM,2021-09-24
22869,96MPPX,Motorfiets,HONDA,09/22/2021 12:00:00 AM,2021-09-22
22870,96MPPZ,Motorfiets,ROYAL ENFIELD,09/23/2021 12:00:00 AM,2021-09-23
22873,96MPRH,Motorfiets,HONDA,10/02/2021 12:00:00 AM,2021-10-02
22874,96MPRJ,Motorfiets,SUZUKI,10/06/2021 12:00:00 AM,2021-10-06
22876,96MPRL,Motorfiets,YAMAHA,10/02/2021 12:00:00 AM,2021-10-02
22878,96MPRP,Motorfiets,HONDA,10/07/2021 12:00:00 AM,2021-10-07
22882,96MPRV,Motorfiets,INDIAN MOTORCYCLE,10/16/2021 12:00:00 AM,2021-10-16
22883,96MPRX,Motorfiets,YAMAHA,10/16/2021 12:00:00 AM,2021-10-16
22884,96MPRZ,Motorfiets,SUZUKI,10/16/2021 12:00:00 AM,2021-10-16
22885,96MPSB,Motorfiets,HONDA,10/16/2021 12:00:00 AM,2021-10-16
22886,96MPSF,Motorfiets,YAMAHA,10/22/2021 12:00:00 AM,2021-10-22
22888,96MPSH,Motorfiets,KYMCO,10/15/2021 12:00:00 AM,2021-10-15
22890,96MPSL,Motorfiets,BMW,10/22/2021 12:00:00 AM,2021-10-22
22895,96MPSV,Motorfiets,PIAGGIO,11/11/2021 12:00:00 AM,2021-11-11
22896,96MPSX,Motorfiets,BMW,11/05/2021 12:00:00 AM,2021-11-05
22899,96MPTD,Motorfiets,SUZUKI,11/06/2021 12:00:00 AM,2021-11-06
22903,96MPTJ,Motorfiets,KTM,11/29/2021 12:00:00 AM,2021-11-29
22904,96MPTK,Motorfiets,BMW,04/26/2021 12:00:00 AM,2021-04-26
22909,96MPTS,Motorfiets,KTM,03/12/2021 12:00:00 AM,2021-03-12
22910,96MPTT,Motorfiets,YAMAHA,12/02/2021 12:00:00 AM,2021-12-02
22913,96MPTZ,Motorfiets,BMW,12/07/2021 12:00:00 AM,2021-12-07
22919,96MPVJ,Motorfiets,BMW,12/15/2021 12:00:00 AM,2021-12-15
22921,96MPVL,Motorfiets,BMW,12/17/2021 12:00:00 AM,2021-12-17
22925,96MPVT,Motorfiets,BMW,12/29/2021 12:00:00 AM,2021-12-29
22927,96MPVX,Motorfiets,BMW,05/31/2021 12:00:00 AM,2021-05-31
22936,96MPXN,Motorfiets,KTM,04/29/2021 12:00:00 AM,2021-04-29
22940,96MPXT,Motorfiets,KTM,06/30/2021 12:00:00 AM,2021-06-30
22946,96MPZF,Motorfiets,HONDA,04/01/2021 12:00:00 AM,2021-04-01
22968,96MRBL,Motorfiets,KAWASAKI,02/13/2021 12:00:00 AM,2021-02-13
22988,96MRDV,Motorfiets,BMW,03/03/2021 12:00:00 AM,2021-03-03
23006,96MRGF,Motorfiets,YAMAHA,05/28/2021 12:00:00 AM,2021-05-28
23008,96MRGH,Motorfiets,BMW,03/12/2021 12:00:00 AM,2021-03-12
23025,96MRHK,Motorfiets,YAMAHA,02/18/2021 12:00:00 AM,2021-02-18
23026,96MRHL,Motorfiets,HONDA,01/28/2021 12:00:00 AM,2021-01-28
23027,96MRHN,Motorfiets,BMW,05/20/2021 12:00:00 AM,2021-05-20
23029,96MRHR,Motorfiets,HONDA,07/12/2021 12:00:00 AM,2021-07-12
43030,96WBB2,Middenasaanhangwagen,LMC,07/17/2021 12:00:00 AM,2021-07-17
43031,96WBB3,Middenasaanhangwagen,ERIBA,08/11/2021 12:00:00 AM,2021-08-11
43032,96WBB4,Middenasaanhangwagen,FREEWHEEL,07/09/2021 12:00:00 AM,2021-07-09
43034,96WBB6,Middenasaanhangwagen,BOCKMANN,07/23/2021 12:00:00 AM,2021-07-23
43035,96WBB7,Middenasaanhangwagen,HENRA,07/26/2021 12:00:00 AM,2021-07-26
43036,96WBB8,Middenasaanhangwagen,HAPERT,07/17/2021 12:00:00 AM,2021-07-17
43037,96WBB9,Middenasaanhangwagen,KNAUS,07/13/2021 12:00:00 AM,2021-07-13
43053,96WBD1,Middenasaanhangwagen,STERCKEMAN,07/17/2021 12:00:00 AM,2021-07-17
43055,96WBD3,Middenasaanhangwagen,ERIBA,08/02/2021 12:00:00 AM,2021-08-02
43056,96WBD4,Middenasaanhangwagen,VLEMMIX,07/16/2021 12:00:00 AM,2021-07-16
43057,96WBD5,Middenasaanhangwagen,HAPERT,07/21/2021 12:00:00 AM,2021-07-21
43058,96WBD6,Middenasaanhangwagen,HENRA,07/23/2021 12:00:00 AM,2021-07-23
43060,96WBD8,Middenasaanhangwagen,HULCO,10/05/2021 12:00:00 AM,2021-10-05
43061,96WBD9,Middenasaanhangwagen,HENRA,08/17/2021 12:00:00 AM,2021-08-17
43075,96WBF1,Middenasaanhangwagen,KNAUS,07/23/2021 12:00:00 AM,2021-07-23
43076,96WBF2,Middenasaanhangwagen,POWER TRAILER,08/02/2021 12:00:00 AM,2021-08-02
43077,96WBF5,Middenasaanhangwagen,DETHLEFFS,07/27/2021 12:00:00 AM,2021-07-27
43078,96WBF6,Middenasaanhangwagen,HULCO,07/27/2021 12:00:00 AM,2021-07-27
43080,96WBF8,Middenasaanhangwagen,FENDT CARAVAN,07/26/2021 12:00:00 AM,2021-07-26
43081,96WBF9,Middenasaanhangwagen,HULCO,09/23/2021 12:00:00 AM,2021-09-23
43096,96WBG1,Middenasaanhangwagen,BOCKMANN,09/23/2021 12:00:00 AM,2021-09-23
43098,96WBG3,Middenasaanhangwagen,HAPERT,08/27/2021 12:00:00 AM,2021-08-27
43099,96WBG4,Middenasaanhangwagen,FENDT CARAVAN,09/29/2021 12:00:00 AM,2021-09-29
43100,96WBG5,Middenasaanhangwagen,ANSSEMS,10/07/2021 12:00:00 AM,2021-10-07
43101,96WBG6,Middenasaanhangwagen,BRIAN JAMES TRAILERS,08/10/2021 12:00:00 AM,2021-08-10
43102,96WBG7,Middenasaanhangwagen,HOBBY,08/27/2021 12:00:00 AM,2021-08-27
43116,96WBH1,Middenasaanhangwagen,CARAVELAIR,08/30/2021 12:00:00 AM,2021-08-30
43117,96WBH2,Middenasaanhangwagen,FENDT CARAVAN,08/31/2021 12:00:00 AM,2021-08-31
