,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
83132,82WZXK,Middenasaanhangwagen,HULCO,06/30/2021 12:00:00 AM,2021-06-30
83133,82WZXL,Middenasaanhangwagen,TABBERT,06/11/2021 12:00:00 AM,2021-06-11
83135,82WZXP,Middenasaanhangwagen,H&W,06/21/2021 12:00:00 AM,2021-06-21
83136,82WZXR,Middenasaanhangwagen,CARAVELAIR,06/23/2021 12:00:00 AM,2021-06-23
83137,82WZXS,Autonome aanhangwagen,GS,07/07/2021 12:00:00 AM,2021-07-07
83138,82WZXT,Middenasaanhangwagen,HENRA,07/05/2021 12:00:00 AM,2021-07-05
83139,82WZXV,Middenasaanhangwagen,BOHMER,07/15/2021 12:00:00 AM,2021-07-15
83142,82WZZB,Middenasaanhangwagen,BATESON TRAILERS,07/01/2021 12:00:00 AM,2021-07-01
83143,82WZZD,Middenasaanhangwagen,ANSSEMS,06/30/2021 12:00:00 AM,2021-06-30
83144,82WZZF,Middenasaanhangwagen,WEINSBERG,06/30/2021 12:00:00 AM,2021-06-30
83145,82WZZG,Middenasaanhangwagen,HAPERT,07/17/2021 12:00:00 AM,2021-07-17
83146,82WZZH,Middenasaanhangwagen,HULCO,07/02/2021 12:00:00 AM,2021-07-02
83147,82WZZJ,Middenasaanhangwagen,STEMA,07/02/2021 12:00:00 AM,2021-07-02
83148,82WZZK,Middenasaanhangwagen,SARIS,10/12/2021 12:00:00 AM,2021-10-12
83149,82WZZL,Middenasaanhangwagen,HUMBAUR,08/19/2021 12:00:00 AM,2021-08-19
83151,82WZZP,Middenasaanhangwagen,KNAUS,07/23/2021 12:00:00 AM,2021-07-23
83152,82WZZR,Middenasaanhangwagen,ANSSEMS,07/14/2021 12:00:00 AM,2021-07-14
83153,82WZZS,Middenasaanhangwagen,HAPERT,07/09/2021 12:00:00 AM,2021-07-09
83155,82WZZZ,Middenasaanhangwagen,FENDT CARAVAN,08/12/2021 12:00:00 AM,2021-08-12
93232,83BPP9,Bedrijfsauto,MERCEDES-BENZ,05/27/2021 12:00:00 AM,2021-05-27
93274,83BPV2,Bedrijfsauto,SCANIA,02/18/2021 12:00:00 AM,2021-02-18
93278,83BPV6,Bus,EBUSCO,02/05/2021 12:00:00 AM,2021-02-05
93303,83BPZ6,Bedrijfsauto,IVECO,01/26/2021 12:00:00 AM,2021-01-26
93314,83BRB7,Bedrijfsauto,DAF,01/13/2021 12:00:00 AM,2021-01-13
93322,83BRD7,Bedrijfsauto,VOLVO,01/04/2021 12:00:00 AM,2021-01-04
93324,83BRD9,Bedrijfsauto,DAF,03/10/2021 12:00:00 AM,2021-03-10
93330,83BRF2,Bedrijfsauto,VOLVO,01/07/2021 12:00:00 AM,2021-01-07
93331,83BRF7,Bedrijfsauto,VOLVO,01/21/2021 12:00:00 AM,2021-01-21
93332,83BRF8,Bedrijfsauto,DAF,02/22/2021 12:00:00 AM,2021-02-22
93333,83BRF9,Bedrijfsauto,SCANIA,01/15/2021 12:00:00 AM,2021-01-15
93338,83BRG3,Bedrijfsauto,SCANIA,03/04/2021 12:00:00 AM,2021-03-04
93339,83BRG5,Bedrijfsauto,SCANIA,02/02/2021 12:00:00 AM,2021-02-02
93340,83BRG6,Bedrijfsauto,DAF,03/03/2021 12:00:00 AM,2021-03-03
93341,83BRG7,Bedrijfsauto,VOLVO,02/08/2021 12:00:00 AM,2021-02-08
93343,83BRG9,Bedrijfsauto,VOLVO,03/03/2021 12:00:00 AM,2021-03-03
93349,83BRH1,Bedrijfsauto,SCANIA,02/15/2021 12:00:00 AM,2021-02-15
93351,83BRH3,Bedrijfsauto,DAF,01/13/2021 12:00:00 AM,2021-01-13
93352,83BRH4,Bedrijfsauto,DAF,03/12/2021 12:00:00 AM,2021-03-12
93353,83BRH5,Bedrijfsauto,MAN,03/04/2021 12:00:00 AM,2021-03-04
93354,83BRH6,Bedrijfsauto,DAF,05/05/2021 12:00:00 AM,2021-05-05
93355,83BRH7,Bedrijfsauto,VOLVO,02/16/2021 12:00:00 AM,2021-02-16
93356,83BRH8,Bedrijfsauto,MAN,02/23/2021 12:00:00 AM,2021-02-23
93357,83BRH9,Bedrijfsauto,RENAULT,05/04/2021 12:00:00 AM,2021-05-04
93366,83BRJ1,Bedrijfsauto,VOLVO,03/12/2021 12:00:00 AM,2021-03-12
93367,83BRJ3,Bedrijfsauto,DAF,03/02/2021 12:00:00 AM,2021-03-02
93368,83BRJ4,Bedrijfsauto,DAF,03/03/2021 12:00:00 AM,2021-03-03
93370,83BRJ6,Bedrijfsauto,VOLVO,03/11/2021 12:00:00 AM,2021-03-11
93371,83BRJ7,Bedrijfsauto,DAF,03/10/2021 12:00:00 AM,2021-03-10
93372,83BRJ8,Bedrijfsauto,DAF,03/11/2021 12:00:00 AM,2021-03-11
93373,83BRJ9,Bedrijfsauto,DAF,03/19/2021 12:00:00 AM,2021-03-19
93380,83BRK1,Bedrijfsauto,SCANIA,04/09/2021 12:00:00 AM,2021-04-09
93383,83BRK4,Bedrijfsauto,IVECO,07/07/2021 12:00:00 AM,2021-07-07
93384,83BRK5,Bedrijfsauto,VOLVO,03/30/2021 12:00:00 AM,2021-03-30
93385,83BRK6,Bedrijfsauto,DAF,03/24/2021 12:00:00 AM,2021-03-24
93387,83BRK8,Bedrijfsauto,SCANIA,04/14/2021 12:00:00 AM,2021-04-14
93388,83BRK9,Bedrijfsauto,SCANIA,04/29/2021 12:00:00 AM,2021-04-29
93394,83BRL1,Bedrijfsauto,DAF,03/30/2021 12:00:00 AM,2021-03-30
93395,83BRL4,Bedrijfsauto,DAF,05/18/2021 12:00:00 AM,2021-05-18
93396,83BRL6,Bedrijfsauto,SCANIA,05/05/2021 12:00:00 AM,2021-05-05
93397,83BRL7,Bedrijfsauto,SCANIA,04/13/2021 12:00:00 AM,2021-04-13
93406,83BRN2,Bedrijfsauto,DAF,06/08/2021 12:00:00 AM,2021-06-08
93407,83BRN4,Bedrijfsauto,MAN,05/03/2021 12:00:00 AM,2021-05-03
93408,83BRN5,Bedrijfsauto,DAF,05/07/2021 12:00:00 AM,2021-05-07
