,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
1848,77WRXT,Middenasaanhangwagen,TITAN JELSUM,04/22/2021 12:00:00 AM,2021-04-22
2279,77WTKD,Middenasaanhangwagen,WM MEYER,06/02/2021 12:00:00 AM,2021-06-02
2529,77WVHG,Middenasaanhangwagen,HAPERT,03/08/2021 12:00:00 AM,2021-03-08
2571,77WVKX,Middenasaanhangwagen,ANSSEMS,01/15/2021 12:00:00 AM,2021-01-15
2635,77WVSH,Middenasaanhangwagen,ANSSEMS,06/25/2021 12:00:00 AM,2021-06-25
2641,77WVSR,Middenasaanhangwagen,HAPERT,07/29/2021 12:00:00 AM,2021-07-29
2647,77WVTD,Middenasaanhangwagen,HENRA,09/16/2021 12:00:00 AM,2021-09-16
2670,77WVVP,Middenasaanhangwagen,BRIAN JAMES TRAILERS,02/23/2021 12:00:00 AM,2021-02-23
2691,77WVZB,Middenasaanhangwagen,UNSINN,03/04/2021 12:00:00 AM,2021-03-04
2792,77WXGL,Middenasaanhangwagen,HAPERT,01/12/2021 12:00:00 AM,2021-01-12
2816,77WXHZ,Middenasaanhangwagen,HOBBY,01/08/2021 12:00:00 AM,2021-01-08
2822,77WXJJ,Middenasaanhangwagen,HENRA,01/20/2021 12:00:00 AM,2021-01-20
2862,77WXLV,Middenasaanhangwagen,HOBBY,03/12/2021 12:00:00 AM,2021-03-12
2868,77WXNG,Middenasaanhangwagen,HULCO,09/11/2021 12:00:00 AM,2021-09-11
2871,77WXNK,Middenasaanhangwagen,HAPERT,10/13/2021 12:00:00 AM,2021-10-13
2879,77WXNX,Middenasaanhangwagen,KUIPER,03/22/2021 12:00:00 AM,2021-03-22
2880,77WXNZ,Middenasaanhangwagen,IFOR WILLIAMS,09/29/2021 12:00:00 AM,2021-09-29
2898,77WXRH,Middenasaanhangwagen,ANSSEMS,11/01/2021 12:00:00 AM,2021-11-01
2902,77WXRN,Middenasaanhangwagen,MARTZ,01/22/2021 12:00:00 AM,2021-01-22
2910,77WXSB,Middenasaanhangwagen,EDUARD,02/22/2021 12:00:00 AM,2021-02-22
2913,77WXSH,Middenasaanhangwagen,SARIS,01/13/2021 12:00:00 AM,2021-01-13
2920,77WXST,Middenasaanhangwagen,HENRA,04/17/2021 12:00:00 AM,2021-04-17
2921,77WXSV,Middenasaanhangwagen,ANSSEMS,01/30/2021 12:00:00 AM,2021-01-30
2927,77WXTJ,Middenasaanhangwagen,ANSSEMS,02/16/2021 12:00:00 AM,2021-02-16
2931,77WXTP,Middenasaanhangwagen,HULCO,01/28/2021 12:00:00 AM,2021-01-28
2951,77WXVX,Middenasaanhangwagen,HUMBAUR,03/16/2021 12:00:00 AM,2021-03-16
2959,77WXXL,Middenasaanhangwagen,HAPERT,05/06/2021 12:00:00 AM,2021-05-06
2963,77WXXS,Middenasaanhangwagen,ADRIA,02/24/2021 12:00:00 AM,2021-02-24
2970,77WXZF,Middenasaanhangwagen,HENRA,03/26/2021 12:00:00 AM,2021-03-26
2973,77WXZJ,Middenasaanhangwagen,ANSSEMS,01/18/2021 12:00:00 AM,2021-01-18
2974,77WXZK,Middenasaanhangwagen,ANSSEMS,01/02/2021 12:00:00 AM,2021-01-02
2979,77WXZS,Middenasaanhangwagen,HUMBAUR,04/02/2021 12:00:00 AM,2021-04-02
2980,77WXZT,Middenasaanhangwagen,ANSSEMS,02/23/2021 12:00:00 AM,2021-02-23
2981,77WXZV,Middenasaanhangwagen,BOCKMANN,01/16/2021 12:00:00 AM,2021-01-16
2983,77WXZZ,Middenasaanhangwagen,IFOR WILLIAMS,01/16/2021 12:00:00 AM,2021-01-16
2985,77WZBD,Middenasaanhangwagen,ANSSEMS,01/21/2021 12:00:00 AM,2021-01-21
2989,77WZBJ,Middenasaanhangwagen,HULCO,01/04/2021 12:00:00 AM,2021-01-04
2990,77WZBK,Middenasaanhangwagen,SARIS,01/23/2021 12:00:00 AM,2021-01-23
2991,77WZBL,Middenasaanhangwagen,EDUARD,01/18/2021 12:00:00 AM,2021-01-18
2993,77WZBP,Middenasaanhangwagen,SIRIUS,07/25/2021 12:00:00 AM,2021-07-25
2995,77WZBS,Middenasaanhangwagen,FENDT CARAVAN,03/01/2021 12:00:00 AM,2021-03-01
2996,77WZBT,Middenasaanhangwagen,SARIS,01/15/2021 12:00:00 AM,2021-01-15
2997,77WZBV,Middenasaanhangwagen,HAPERT,03/26/2021 12:00:00 AM,2021-03-26
2999,77WZBZ,Middenasaanhangwagen,BOCKMANN,01/08/2021 12:00:00 AM,2021-01-08
3000,77WZDB,Middenasaanhangwagen,HOBBY,01/12/2021 12:00:00 AM,2021-01-12
3001,77WZDD,Middenasaanhangwagen,HENRA,02/15/2021 12:00:00 AM,2021-02-15
3002,77WZDF,Middenasaanhangwagen,SARIS,05/18/2021 12:00:00 AM,2021-05-18
3003,77WZDG,Middenasaanhangwagen,HAPERT,01/29/2021 12:00:00 AM,2021-01-29
3004,77WZDH,Middenasaanhangwagen,ANSSEMS,04/16/2021 12:00:00 AM,2021-04-16
3005,77WZDJ,Middenasaanhangwagen,ANSSEMS,03/03/2021 12:00:00 AM,2021-03-03
3006,77WZDK,Middenasaanhangwagen,BOCKMANN,03/03/2021 12:00:00 AM,2021-03-03
3008,77WZDN,Middenasaanhangwagen,ANSSEMS,05/22/2021 12:00:00 AM,2021-05-22
3009,77WZDP,Middenasaanhangwagen,HENRA,05/17/2021 12:00:00 AM,2021-05-17
3010,77WZDR,Middenasaanhangwagen,ANSSEMS,01/29/2021 12:00:00 AM,2021-01-29
3011,77WZDS,Middenasaanhangwagen,HENRA,12/24/2021 12:00:00 AM,2021-12-24
3012,77WZDT,Middenasaanhangwagen,DETHLEFFS,04/01/2021 12:00:00 AM,2021-04-01
3013,77WZDV,Middenasaanhangwagen,HAPERT,04/20/2021 12:00:00 AM,2021-04-20
3014,77WZDX,Middenasaanhangwagen,HUMBAUR,03/18/2021 12:00:00 AM,2021-03-18
3015,77WZDZ,Middenasaanhangwagen,EDUARD,02/12/2021 12:00:00 AM,2021-02-12
3016,77WZFB,Middenasaanhangwagen,KAESER,01/26/2021 12:00:00 AM,2021-01-26
3017,77WZFD,Middenasaanhangwagen,SARIS,03/12/2021 12:00:00 AM,2021-03-12
3018,77WZFF,Middenasaanhangwagen,FENDT CARAVAN,03/16/2021 12:00:00 AM,2021-03-16
3019,77WZFG,Middenasaanhangwagen,HULCO,02/02/2021 12:00:00 AM,2021-02-02
3020,77WZFH,Middenasaanhangwagen,HOBBY,02/19/2021 12:00:00 AM,2021-02-19
3021,77WZFJ,Middenasaanhangwagen,ANSSEMS,02/22/2021 12:00:00 AM,2021-02-22
3022,77WZFK,Middenasaanhangwagen,EDUARD,04/06/2021 12:00:00 AM,2021-04-06
3023,77WZFL,Middenasaanhangwagen,ANSSEMS,06/25/2021 12:00:00 AM,2021-06-25
3024,77WZFN,Middenasaanhangwagen,EASYLINE,03/20/2021 12:00:00 AM,2021-03-20
3025,77WZFP,Middenasaanhangwagen,ATLAS COPCO,02/09/2021 12:00:00 AM,2021-02-09
3027,77WZFS,Middenasaanhangwagen,HULCO,02/10/2021 12:00:00 AM,2021-02-10
3028,77WZFT,Middenasaanhangwagen,HULCO,04/02/2021 12:00:00 AM,2021-04-02
3029,77WZFV,Middenasaanhangwagen,HAPERT,02/26/2021 12:00:00 AM,2021-02-26
3030,77WZFX,Middenasaanhangwagen,EDUARD,02/08/2021 12:00:00 AM,2021-02-08
3031,77WZFZ,Middenasaanhangwagen,EDUARD,03/06/2021 12:00:00 AM,2021-03-06
3032,77WZGB,Middenasaanhangwagen,DETHLEFFS,02/12/2021 12:00:00 AM,2021-02-12
3033,77WZGD,Middenasaanhangwagen,EDUARD,04/08/2021 12:00:00 AM,2021-04-08
3035,77WZGG,Middenasaanhangwagen,ADRIA,04/02/2021 12:00:00 AM,2021-04-02
3036,77WZGH,Middenasaanhangwagen,PROLINE,02/15/2021 12:00:00 AM,2021-02-15
3037,77WZGJ,Middenasaanhangwagen,ANSSEMS,04/07/2021 12:00:00 AM,2021-04-07
3038,77WZGK,Middenasaanhangwagen,ANSSEMS,07/03/2021 12:00:00 AM,2021-07-03
3039,77WZGL,Middenasaanhangwagen,DETHLEFFS,02/16/2021 12:00:00 AM,2021-02-16
3040,77WZGN,Middenasaanhangwagen,HAPERT,02/17/2021 12:00:00 AM,2021-02-17
3042,77WZGR,Middenasaanhangwagen,HENRA,02/23/2021 12:00:00 AM,2021-02-23
3043,77WZGS,Middenasaanhangwagen,FENDT CARAVAN,03/15/2021 12:00:00 AM,2021-03-15
3044,77WZGT,Middenasaanhangwagen,DRACO,02/17/2021 12:00:00 AM,2021-02-17
3045,77WZGV,Middenasaanhangwagen,ANSSEMS,07/02/2021 12:00:00 AM,2021-07-02
3046,77WZGX,Middenasaanhangwagen,HULCO,04/01/2021 12:00:00 AM,2021-04-01
3047,77WZHB,Middenasaanhangwagen,ADRIA,03/05/2021 12:00:00 AM,2021-03-05
3048,77WZHF,Middenasaanhangwagen,ANSSEMS,04/20/2021 12:00:00 AM,2021-04-20
3049,77WZHG,Middenasaanhangwagen,LMC,02/23/2021 12:00:00 AM,2021-02-23
3050,77WZHH,Middenasaanhangwagen,PROLINE,02/24/2021 12:00:00 AM,2021-02-24
3051,77WZHJ,Middenasaanhangwagen,SARIS,06/02/2021 12:00:00 AM,2021-06-02
3052,77WZHK,Middenasaanhangwagen,KNAUS,03/03/2021 12:00:00 AM,2021-03-03
3053,77WZHL,Middenasaanhangwagen,BRIAN JAMES TRAILERS,03/01/2021 12:00:00 AM,2021-03-01
3054,77WZHN,Middenasaanhangwagen,TRIAS,02/26/2021 12:00:00 AM,2021-02-26
3056,77WZHR,Middenasaanhangwagen,HOBBY,03/22/2021 12:00:00 AM,2021-03-22
3057,77WZHS,Middenasaanhangwagen,ADRIA,03/19/2021 12:00:00 AM,2021-03-19
3058,77WZHT,Middenasaanhangwagen,SARIS,03/31/2021 12:00:00 AM,2021-03-31
3059,77WZHV,Middenasaanhangwagen,EASYLINE,03/17/2021 12:00:00 AM,2021-03-17
3061,77WZHZ,Middenasaanhangwagen,HAPERT,03/15/2021 12:00:00 AM,2021-03-15
3062,77WZJB,Middenasaanhangwagen,HULCO,03/05/2021 12:00:00 AM,2021-03-05
3064,77WZJF,Middenasaanhangwagen,HENRA,03/30/2021 12:00:00 AM,2021-03-30
3065,77WZJG,Middenasaanhangwagen,SIRIUS,07/01/2021 12:00:00 AM,2021-07-01
3066,77WZJH,Middenasaanhangwagen,HAPERT,05/14/2021 12:00:00 AM,2021-05-14
3067,77WZJJ,Middenasaanhangwagen,HULCO,08/27/2021 12:00:00 AM,2021-08-27
3068,77WZJK,Middenasaanhangwagen,HAPERT,05/20/2021 12:00:00 AM,2021-05-20
3069,77WZJL,Middenasaanhangwagen,SARIS,05/04/2021 12:00:00 AM,2021-05-04
3070,77WZJN,Middenasaanhangwagen,HULCO,03/16/2021 12:00:00 AM,2021-03-16
3071,77WZJP,Middenasaanhangwagen,FENDT CARAVAN,04/09/2021 12:00:00 AM,2021-04-09
3072,77WZJR,Middenasaanhangwagen,HENRA,04/23/2021 12:00:00 AM,2021-04-23
3073,77WZJS,Middenasaanhangwagen,FENDT CARAVAN,03/31/2021 12:00:00 AM,2021-03-31
3074,77WZJT,Autonome aanhangwagen,BK MARKET TRAILERS,08/23/2021 12:00:00 AM,2021-08-23
3075,77WZJV,Middenasaanhangwagen,EDUARD,04/16/2021 12:00:00 AM,2021-04-16
3076,77WZJX,Middenasaanhangwagen,PUTZMEISTER,03/17/2021 12:00:00 AM,2021-03-17
3077,77WZJZ,Middenasaanhangwagen,HAPERT,05/19/2021 12:00:00 AM,2021-05-19
3078,77WZKD,Middenasaanhangwagen,IFOR WILLIAMS,03/30/2021 12:00:00 AM,2021-03-30
3079,77WZKF,Middenasaanhangwagen,HUMBAUR,04/30/2021 12:00:00 AM,2021-04-30
3080,77WZKG,Middenasaanhangwagen,FENDT CARAVAN,03/24/2021 12:00:00 AM,2021-03-24
3081,77WZKH,Middenasaanhangwagen,HENRA,04/01/2021 12:00:00 AM,2021-04-01
3082,77WZKJ,Middenasaanhangwagen,ANSSEMS,03/25/2021 12:00:00 AM,2021-03-25
3083,77WZKK,Middenasaanhangwagen,CARAVELAIR,04/28/2021 12:00:00 AM,2021-04-28
3084,77WZKL,Middenasaanhangwagen,HENRA,03/23/2021 12:00:00 AM,2021-03-23
3085,77WZKN,Middenasaanhangwagen,HULCO,06/28/2021 12:00:00 AM,2021-06-28
3087,77WZKR,Middenasaanhangwagen,DETHLEFFS,04/02/2021 12:00:00 AM,2021-04-02
3090,77WZKV,Middenasaanhangwagen,HENRA,05/10/2021 12:00:00 AM,2021-05-10
3091,77WZKX,Middenasaanhangwagen,ADRIA,03/29/2021 12:00:00 AM,2021-03-29
3093,77WZLB,Middenasaanhangwagen,ANSSEMS,04/14/2021 12:00:00 AM,2021-04-14
3094,77WZLD,Middenasaanhangwagen,BRENDERUP,02/16/2021 12:00:00 AM,2021-02-16
3095,77WZLF,Middenasaanhangwagen,BOCKMANN,11/03/2021 12:00:00 AM,2021-11-03
3096,77WZLG,Middenasaanhangwagen,HOBBY,03/22/2021 12:00:00 AM,2021-03-22
3097,77WZLH,Middenasaanhangwagen,ANSSEMS,04/30/2021 12:00:00 AM,2021-04-30
3098,77WZLJ,Middenasaanhangwagen,ADRIA,03/31/2021 12:00:00 AM,2021-03-31
3099,77WZLK,Middenasaanhangwagen,SARIS,06/18/2021 12:00:00 AM,2021-06-18
3100,77WZLL,Middenasaanhangwagen,HOBBY,04/13/2021 12:00:00 AM,2021-04-13
3101,77WZLN,Middenasaanhangwagen,DETHLEFFS,04/02/2021 12:00:00 AM,2021-04-02
3102,77WZLP,Middenasaanhangwagen,HAPERT,04/20/2021 12:00:00 AM,2021-04-20
3103,77WZLR,Middenasaanhangwagen,HULCO,04/15/2021 12:00:00 AM,2021-04-15
3104,77WZLS,Middenasaanhangwagen,BOCKMANN,10/06/2021 12:00:00 AM,2021-10-06
3105,77WZLT,Middenasaanhangwagen,HAPERT,04/22/2021 12:00:00 AM,2021-04-22
3106,77WZLX,Middenasaanhangwagen,HENRA,07/15/2021 12:00:00 AM,2021-07-15
3107,77WZLZ,Middenasaanhangwagen,IFOR WILLIAMS,04/19/2021 12:00:00 AM,2021-04-19
3108,77WZNB,Middenasaanhangwagen,WEINSBERG,04/08/2021 12:00:00 AM,2021-04-08
3109,77WZND,Middenasaanhangwagen,HENRA,04/22/2021 12:00:00 AM,2021-04-22
3110,77WZNF,Middenasaanhangwagen,HOBBY,04/28/2021 12:00:00 AM,2021-04-28
3111,77WZNG,Middenasaanhangwagen,HULCO,10/13/2021 12:00:00 AM,2021-10-13
3112,77WZNH,Middenasaanhangwagen,EDUARD,04/23/2021 12:00:00 AM,2021-04-23
3113,77WZNJ,Middenasaanhangwagen,HUMBAUR,05/17/2021 12:00:00 AM,2021-05-17
3114,77WZNK,Middenasaanhangwagen,ATEC,04/23/2021 12:00:00 AM,2021-04-23
3115,77WZNL,Middenasaanhangwagen,ANSSEMS,08/31/2021 12:00:00 AM,2021-08-31
3116,77WZNN,Middenasaanhangwagen,HAPERT,04/21/2021 12:00:00 AM,2021-04-21
3117,77WZNP,Middenasaanhangwagen,BUECKER,04/16/2021 12:00:00 AM,2021-04-16
3118,77WZNR,Middenasaanhangwagen,HAPERT,04/16/2021 12:00:00 AM,2021-04-16
3119,77WZNS,Middenasaanhangwagen,SARIS,09/17/2021 12:00:00 AM,2021-09-17
3120,77WZNT,Middenasaanhangwagen,SARIS,05/22/2021 12:00:00 AM,2021-05-22
3121,77WZNV,Middenasaanhangwagen,TA-NO,04/01/2021 12:00:00 AM,2021-04-01
3122,77WZNX,Middenasaanhangwagen,HENRA,04/19/2021 12:00:00 AM,2021-04-19
3123,77WZNZ,Middenasaanhangwagen,ANSSEMS,04/20/2021 12:00:00 AM,2021-04-20
3124,77WZPB,Middenasaanhangwagen,EDUARD,08/19/2021 12:00:00 AM,2021-08-19
3125,77WZPD,Middenasaanhangwagen,DETHLEFFS,04/23/2021 12:00:00 AM,2021-04-23
3126,77WZPF,Middenasaanhangwagen,KLAAS ALU-KRANBAU GMBH,04/21/2021 12:00:00 AM,2021-04-21
3127,77WZPG,Middenasaanhangwagen,FENDT CARAVAN,05/04/2021 12:00:00 AM,2021-05-04
3128,77WZPH,Middenasaanhangwagen,DETHLEFFS,04/23/2021 12:00:00 AM,2021-04-23
3129,77WZPJ,Middenasaanhangwagen,EDUARD,04/23/2021 12:00:00 AM,2021-04-23
3130,77WZPK,Middenasaanhangwagen,HENRA,11/19/2021 12:00:00 AM,2021-11-19
3131,77WZPL,Middenasaanhangwagen,ANSSEMS,04/23/2021 12:00:00 AM,2021-04-23
3132,77WZPN,Middenasaanhangwagen,HAPERT,06/24/2021 12:00:00 AM,2021-06-24
3133,77WZPP,Middenasaanhangwagen,ANSSEMS,04/30/2021 12:00:00 AM,2021-04-30
3135,77WZPS,Middenasaanhangwagen,HOKA,04/26/2021 12:00:00 AM,2021-04-26
3136,77WZPT,Middenasaanhangwagen,SIRIUS,09/03/2021 12:00:00 AM,2021-09-03
3138,77WZPX,Middenasaanhangwagen,HENRA,05/20/2021 12:00:00 AM,2021-05-20
3139,77WZPZ,Middenasaanhangwagen,SARIS,05/10/2021 12:00:00 AM,2021-05-10
3140,77WZRB,Middenasaanhangwagen,CHEVAL LIBERTE,05/15/2021 12:00:00 AM,2021-05-15
3141,77WZRD,Middenasaanhangwagen,HAPERT,05/04/2021 12:00:00 AM,2021-05-04
3142,77WZRF,Middenasaanhangwagen,KNAUS,05/07/2021 12:00:00 AM,2021-05-07
3143,77WZRG,Middenasaanhangwagen,HUMBAUR,06/26/2021 12:00:00 AM,2021-06-26
3144,77WZRH,Middenasaanhangwagen,HOBBY,06/04/2021 12:00:00 AM,2021-06-04
3146,77WZRK,Middenasaanhangwagen,HOBBY,05/27/2021 12:00:00 AM,2021-05-27
3147,77WZRL,Middenasaanhangwagen,FENDT CARAVAN,05/12/2021 12:00:00 AM,2021-05-12
3149,77WZRP,Middenasaanhangwagen,VAN WEEL,05/05/2021 12:00:00 AM,2021-05-05
3150,77WZRR,Middenasaanhangwagen,HULCO,05/18/2021 12:00:00 AM,2021-05-18
3151,77WZRS,Middenasaanhangwagen,PEGA,07/02/2021 12:00:00 AM,2021-07-02
3152,77WZRT,Middenasaanhangwagen,WICO,05/12/2021 12:00:00 AM,2021-05-12
3153,77WZRV,Middenasaanhangwagen,VLEMMIX,05/07/2021 12:00:00 AM,2021-05-07
3154,77WZRX,Middenasaanhangwagen,DETHLEFFS,05/19/2021 12:00:00 AM,2021-05-19
3156,77WZSB,Middenasaanhangwagen,PEGA,07/20/2021 12:00:00 AM,2021-07-20
3157,77WZSF,Middenasaanhangwagen,ANSSEMS,05/19/2021 12:00:00 AM,2021-05-19
3158,77WZSG,Middenasaanhangwagen,BUECKER,05/18/2021 12:00:00 AM,2021-05-18
3159,77WZSH,Middenasaanhangwagen,EDUARD,05/20/2021 12:00:00 AM,2021-05-20
3160,77WZSJ,Middenasaanhangwagen,ERIBA,06/25/2021 12:00:00 AM,2021-06-25
3161,77WZSK,Middenasaanhangwagen,HENRA,08/31/2021 12:00:00 AM,2021-08-31
3162,77WZSL,Middenasaanhangwagen,WEINSBERG,06/02/2021 12:00:00 AM,2021-06-02
3164,77WZSP,Middenasaanhangwagen,HULCO,05/26/2021 12:00:00 AM,2021-05-26
3165,77WZSR,Middenasaanhangwagen,ANSSEMS,06/10/2021 12:00:00 AM,2021-06-10
3166,77WZST,Middenasaanhangwagen,PROLINE,05/31/2021 12:00:00 AM,2021-05-31
3167,77WZSV,Middenasaanhangwagen,HENRA,10/05/2021 12:00:00 AM,2021-10-05
3168,77WZSX,Middenasaanhangwagen,DETHLEFFS,05/21/2021 12:00:00 AM,2021-05-21
3169,77WZSZ,Middenasaanhangwagen,TRIAS,05/21/2021 12:00:00 AM,2021-05-21
3170,77WZTB,Middenasaanhangwagen,ERIBA,06/02/2021 12:00:00 AM,2021-06-02
3171,77WZTD,Middenasaanhangwagen,KALF,05/29/2021 12:00:00 AM,2021-05-29
3172,77WZTF,Middenasaanhangwagen,SARIS,10/13/2021 12:00:00 AM,2021-10-13
3173,77WZTH,Middenasaanhangwagen,ANSSEMS,05/25/2021 12:00:00 AM,2021-05-25
3174,77WZTJ,Middenasaanhangwagen,KNAUS,07/09/2021 12:00:00 AM,2021-07-09
3175,77WZTK,Middenasaanhangwagen,KNAUS,06/04/2021 12:00:00 AM,2021-06-04
3177,77WZTN,Middenasaanhangwagen,KALF,06/03/2021 12:00:00 AM,2021-06-03
3178,77WZTP,Middenasaanhangwagen,HAPERT,06/07/2021 12:00:00 AM,2021-06-07
3179,77WZTR,Middenasaanhangwagen,LMC,08/14/2021 12:00:00 AM,2021-08-14
3180,77WZTS,Middenasaanhangwagen,HOBBY,06/03/2021 12:00:00 AM,2021-06-03
3181,77WZTT,Middenasaanhangwagen,KNAUS,06/05/2021 12:00:00 AM,2021-06-05
3182,77WZTV,Middenasaanhangwagen,BUERSTNER,06/11/2021 12:00:00 AM,2021-06-11
3183,77WZTX,Middenasaanhangwagen,FENDT CARAVAN,06/11/2021 12:00:00 AM,2021-06-11
3184,77WZTZ,Middenasaanhangwagen,SARIS,11/20/2021 12:00:00 AM,2021-11-20
3186,77WZVD,Middenasaanhangwagen,HAPERT,09/01/2021 12:00:00 AM,2021-09-01
3187,77WZVF,Middenasaanhangwagen,EDUARD,06/16/2021 12:00:00 AM,2021-06-16
3189,77WZVH,Middenasaanhangwagen,DETHLEFFS,06/18/2021 12:00:00 AM,2021-06-18
3190,77WZVJ,Middenasaanhangwagen,HENRA,06/09/2021 12:00:00 AM,2021-06-09
3191,77WZVK,Middenasaanhangwagen,FENDT CARAVAN,06/11/2021 12:00:00 AM,2021-06-11
3192,77WZVL,Middenasaanhangwagen,EDUARD,10/01/2021 12:00:00 AM,2021-10-01
3193,77WZVN,Middenasaanhangwagen,HENRA,06/09/2021 12:00:00 AM,2021-06-09
3194,77WZVP,Middenasaanhangwagen,HAPERT,11/15/2021 12:00:00 AM,2021-11-15
3195,77WZVR,Middenasaanhangwagen,HENRA,06/22/2021 12:00:00 AM,2021-06-22
3196,77WZVS,Middenasaanhangwagen,ANSSEMS,10/02/2021 12:00:00 AM,2021-10-02
3197,77WZVT,Middenasaanhangwagen,EDUARD,06/29/2021 12:00:00 AM,2021-06-29
3199,77WZVX,Middenasaanhangwagen,HENRA,12/21/2021 12:00:00 AM,2021-12-21
3200,77WZVZ,Middenasaanhangwagen,ANSSEMS,06/22/2021 12:00:00 AM,2021-06-22
3201,77WZXB,Middenasaanhangwagen,TPV TRAILERS,06/14/2021 12:00:00 AM,2021-06-14
3202,77WZXF,Middenasaanhangwagen,HENRA,06/19/2021 12:00:00 AM,2021-06-19
3205,77WZXJ,Middenasaanhangwagen,ANSSEMS,06/18/2021 12:00:00 AM,2021-06-18
3206,77WZXK,Middenasaanhangwagen,KNAUS,06/24/2021 12:00:00 AM,2021-06-24
3207,77WZXL,Middenasaanhangwagen,TABBERT,06/11/2021 12:00:00 AM,2021-06-11
3208,77WZXN,Middenasaanhangwagen,ADRIA,06/25/2021 12:00:00 AM,2021-06-25
3209,77WZXR,Middenasaanhangwagen,HENRA,07/01/2021 12:00:00 AM,2021-07-01
3210,77WZXS,Middenasaanhangwagen,HULCO,09/21/2021 12:00:00 AM,2021-09-21
3212,77WZXV,Middenasaanhangwagen,TWINS,06/28/2021 12:00:00 AM,2021-06-28
3213,77WZXX,Middenasaanhangwagen,HAPERT,07/09/2021 12:00:00 AM,2021-07-09
3214,77WZXZ,Middenasaanhangwagen,NIEWIADOW,06/25/2021 12:00:00 AM,2021-06-25
3215,77WZZB,Middenasaanhangwagen,HENRA,07/06/2021 12:00:00 AM,2021-07-06
3216,77WZZD,Middenasaanhangwagen,ANSSEMS,07/16/2021 12:00:00 AM,2021-07-16
3217,77WZZF,Middenasaanhangwagen,EDUARD,07/05/2021 12:00:00 AM,2021-07-05
3220,77WZZJ,Middenasaanhangwagen,FENDT CARAVAN,07/02/2021 12:00:00 AM,2021-07-02
3221,77WZZK,Middenasaanhangwagen,SARIS,09/23/2021 12:00:00 AM,2021-09-23
3222,77WZZL,Middenasaanhangwagen,HENRA,07/29/2021 12:00:00 AM,2021-07-29
3223,77WZZN,Middenasaanhangwagen,HAPERT,12/03/2021 12:00:00 AM,2021-12-03
3224,77WZZP,Middenasaanhangwagen,FENDT CARAVAN,07/24/2021 12:00:00 AM,2021-07-24
3225,77WZZR,Middenasaanhangwagen,HULCO,07/27/2021 12:00:00 AM,2021-07-27
3226,77WZZS,Middenasaanhangwagen,HAPERT,07/28/2021 12:00:00 AM,2021-07-28
3227,77WZZT,Middenasaanhangwagen,PEGA,07/06/2021 12:00:00 AM,2021-07-06
3228,77WZZV,Middenasaanhangwagen,DETHLEFFS,07/09/2021 12:00:00 AM,2021-07-09
3230,77WZZZ,Middenasaanhangwagen,KNAUS,07/21/2021 12:00:00 AM,2021-07-21
13041,78BNX8,Bedrijfsauto,DAF,01/27/2021 12:00:00 AM,2021-01-27
13231,78BPX3,Bedrijfsauto,SCANIA,01/07/2021 12:00:00 AM,2021-01-07
13256,78BRB5,Bedrijfsauto,DAF,01/04/2021 12:00:00 AM,2021-01-04
13258,78BRB8,Bedrijfsauto,IVECO,01/15/2021 12:00:00 AM,2021-01-15
13259,78BRB9,Bedrijfsauto,VOLVO,01/04/2021 12:00:00 AM,2021-01-04
13265,78BRD1,Bedrijfsauto,SCANIA,02/17/2021 12:00:00 AM,2021-02-17
13272,78BRD9,Bedrijfsauto,DAF,01/29/2021 12:00:00 AM,2021-01-29
13277,78BRF1,Bedrijfsauto,DAF,01/21/2021 12:00:00 AM,2021-01-21
13278,78BRF2,Bedrijfsauto,MERCEDES-BENZ,01/07/2021 12:00:00 AM,2021-01-07
13279,78BRF3,Bedrijfsauto,VOLVO,01/21/2021 12:00:00 AM,2021-01-21
13280,78BRF4,Bedrijfsauto,DAF,01/07/2021 12:00:00 AM,2021-01-07
13281,78BRF5,Bedrijfsauto,DAF,01/08/2021 12:00:00 AM,2021-01-08
13282,78BRF6,Bedrijfsauto,RENAULT,01/20/2021 12:00:00 AM,2021-01-20
13283,78BRF7,Bedrijfsauto,VOLVO,02/08/2021 12:00:00 AM,2021-02-08
13284,78BRF8,Bedrijfsauto,SCANIA,02/16/2021 12:00:00 AM,2021-02-16
13289,78BRG1,Bedrijfsauto,VOLVO,02/05/2021 12:00:00 AM,2021-02-05
13291,78BRG3,Bedrijfsauto,VOLVO,01/28/2021 12:00:00 AM,2021-01-28
13292,78BRG4,Bedrijfsauto,DAF,02/05/2021 12:00:00 AM,2021-02-05
13293,78BRG6,Bedrijfsauto,VOLVO,01/28/2021 12:00:00 AM,2021-01-28
13295,78BRG8,Bedrijfsauto,SCANIA,02/15/2021 12:00:00 AM,2021-02-15
13296,78BRG9,Bedrijfsauto,VOLVO,03/22/2021 12:00:00 AM,2021-03-22
13301,78BRH1,Bedrijfsauto,VOLVO,02/24/2021 12:00:00 AM,2021-02-24
13302,78BRH2,Bedrijfsauto,MERCEDES-BENZ,03/16/2021 12:00:00 AM,2021-03-16
13303,78BRH3,Bedrijfsauto,SCANIA,02/15/2021 12:00:00 AM,2021-02-15
13304,78BRH4,Bedrijfsauto,VOLVO,02/15/2021 12:00:00 AM,2021-02-15
13306,78BRH6,Bedrijfsauto,SCANIA,03/17/2021 12:00:00 AM,2021-03-17
13307,78BRH7,Bedrijfsauto,DAF,02/19/2021 12:00:00 AM,2021-02-19
