,Kenteken,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch
104642,82BRB3,Diesel,,,,,,,,,,,,,
104653,82BRD2,Diesel,,,,,,,,,,,,,
104655,82BRD5,Diesel,,,,,,,,,,,,,
104656,82BRD7,Diesel,,,,,,,,,,,,,
104657,82BRD8,Diesel,6.6,6.9,182.0,,,,,,,,,,
104658,82BRD9,Diesel,,,,,,,,,,,,,
104663,82BRF2,Diesel,,,,,,,,,,,,,
104664,82BRF4,Diesel,,,,,,,,,,,,,
104666,82BRF7,Diesel,,,,,,,,,,,,,
104667,82BRF8,Diesel,,,,,,,,,,,,,
104672,82BRG2,Diesel,,,,,,,,,,,,,
104673,82BRG3,Diesel,,,,,,,,,,,,,
104675,82BRG5,LNG,,,,,,,,,,,,,
104676,82BRG6,Diesel,,,,,,,,,,,,,
104677,82BRG7,Diesel,,,,,,,,,,,,,
104678,82BRG8,Diesel,,,,,,,,,,,,,
104679,82BRG9,Diesel,,,,,,,,,,,,,
104685,82BRH1,Diesel,7.0,7.4,193.0,,,,,,,,,,
104687,82BRH3,Diesel,,,433.0,,,,,,,,,,
104688,82BRH4,Diesel,,,,,,,,,,,,,
104690,82BRH6,Diesel,,,,,,,,,,,,,
104691,82BRH7,CNG,,,,,,,,,,,,,
104692,82BRH8,Diesel,,,,,,,,,,,,,
104693,82BRH9,Diesel,,,,,,,,,,,,,
104700,82BRJ1,Diesel,,,,,,,,,,,,,
104701,82BRJ2,Diesel,,,,,,,,,,,,,
104702,82BRJ3,Diesel,,,,,,,,,,,,,
104704,82BRJ6,Diesel,,,,,,,,,,,,,
104705,82BRJ7,Diesel,,,,,,,,,,,,,
104706,82BRJ8,Diesel,,,,,,,,,,,,,
104707,82BRJ9,Diesel,,,,,,,,,,,,,
104715,82BRK1,Diesel,,,,,,,,,,,,,
104716,82BRK3,Diesel,,,,,,,,,,,,,
104718,82BRK5,Diesel,,,,,,,,,,,,,
104719,82BRK7,Diesel,,,,,,,,,,,,,
104720,82BRK8,Diesel,,,,,,,,,,,,,
104722,82BRL1,Diesel,,,,,,,,,,,,,
104723,82BRL2,Diesel,,,,,,,,,,,,,
104724,82BRL3,Diesel,,,,,,,,,,,,,
104725,82BRL4,Diesel,,,,,,,,,,,,,
104726,82BRL6,Diesel,,,,,,,,,,,,,
104727,82BRL7,Diesel,,,,,,,,,,,,,
104728,82BRL8,Diesel,,,,,,,,,,,,,
104731,82BRN1,Diesel,,,,,,,,,,,,,
104732,82BRN2,Diesel,,,,,,,,,,,,,
104733,82BRN4,Diesel,,,,,,,,,,,,,
104734,82BRN5,Diesel,,,,,,,,,,,,,
104735,82BRN6,Diesel,,,,,,,,,,,,,
104736,82BRN7,Diesel,,,,,,,,,,,,,
104737,82BRN8,Diesel,,,,,,,,,,,,,
104738,82BRN9,LNG,,,,,,,,,,,,,
104748,82BRP1,Diesel,,,,,,,,,,,,,
104749,82BRP2,Diesel,,,,,,,,,,,,,
104750,82BRP3,Diesel,,,,,,,,,,,,,
104751,82BRP4,Diesel,,,,,,,,,,,,,
104752,82BRP6,Diesel,,,,,,,,,,,,,
104754,82BRP8,Diesel,,,,,,,,,,,,,
104761,82BRR1,Diesel,,,,,,,,,,,,,
104765,82BRR8,LNG,,,,,,,,,,,,,
104766,82BRR8,Diesel,,,,,,,,,,,,,
104767,82BRR9,Diesel,,,,,,,,,,,,,
104773,82BRS1,Diesel,,,,,,,,,,,,,
104774,82BRS3,Diesel,,,,,,,,,,,,,
104775,82BRS4,Diesel,,,,,,,,,,,,,
104776,82BRS6,Diesel,,,,,,,,,,,,,
104777,82BRS7,Diesel,,,,,,,,,,,,,
104778,82BRS8,Diesel,,,,,,,,,,,,,
104779,82BRS9,LNG,,,,,,,,,,,,,
