,Kenteken,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch
23160,96BNX5,Diesel,,,,,,,,,,,,,
23318,96BPT1,Elektriciteit,,,,,,,,,,,,,205.0
23343,96BPX2,Diesel,,,,,,,,,,,,,
23358,96BPZ4,Diesel,,,,,,,,,,,,,
23363,96BPZ9,Diesel,7.9,9.1,237.0,,,,,,,,,,
23370,96BRB4,Diesel,,,,,,,,,,,,,
23376,96BRB9,Diesel,,,,,,,,,,,,,
23383,96BRD1,Diesel,,,,,,,,,,,,,
23384,96BRD3,Diesel,,,,,,,,,,,,,
23385,96BRD4,Diesel,,,,,,,,,,,,,
23386,96BRD6,Diesel,,,,,,,,,,,,,
23387,96BRD8,Diesel,,,,,,,,,,,,,
23388,96BRD9,Diesel,,,,,,,,,,,,,
23396,96BRF2,Diesel,,,,,,,,,,,,,
23397,96BRF3,Diesel,,,,,,,,,,,,,
23398,96BRF5,Diesel,,,,,,,,,,,,,
23401,96BRF8,Diesel,,,,,,,,,,,,,
23402,96BRF9,Diesel,,,,,,,,,,,,,
23408,96BRG2,Diesel,,,,,,,,,,,,,
23409,96BRG3,Diesel,,,,,,,,,,,,,
23410,96BRG4,Diesel,,,,,,,,,,,,,
23413,96BRG7,Diesel,,,,,,,,,,,,,
23414,96BRG8,Diesel,,,,,,,,,,,,,
23415,96BRG9,Diesel,,,,,,,,,,,,,
23417,96BRH1,LNG,,,,,,,,,,,,,
23418,96BRH2,Diesel,,,,,,,,,,,,,
23419,96BRH3,Diesel,,,,,,,,,,,,,
23421,96BRH5,Diesel,,,,,,,,,,,,,
23422,96BRH6,LNG,,,,,,,,,,,,,
23424,96BRH8,Diesel,,,,,,,,,,,,,
23430,96BRJ2,Diesel,,,,,,,,,,,,,
23431,96BRJ3,Diesel,,,,,,,,,,,,,
23432,96BRJ9,Diesel,,,,,,,,,,,,,
23438,96BRK2,Diesel,,,,,,,,,,,,,
23439,96BRK3,LNG,,,,,,,,,,,,,
23440,96BRK3,Diesel,,,,,,,,,,,,,
23441,96BRK4,Diesel,,,,,,,,,,,,,
23442,96BRK6,Diesel,,,,,,,,,,,,,
23443,96BRK7,LNG,,,,,,,,,,,,,
23444,96BRK7,Diesel,,,,,,,,,,,,,
23445,96BRK8,Diesel,,,,,,,,,,,,,
23454,96BRL1,Diesel,,,,,,,,,,,,,
23455,96BRL3,Diesel,,,,,,,,,,,,,
23456,96BRL4,Diesel,,,,,,,,,,,,,
23458,96BRL7,Diesel,,,,,,,,,,,,,
23459,96BRL8,Diesel,,,,,,,,,,,,,
23460,96BRL9,Diesel,,,,,,,,,,,,,
23465,96BRN1,Diesel,,,,,,,,,,,,,
23466,96BRN2,Diesel,,,,,,,,,,,,,
23467,96BRN4,Diesel,,,,,,,,,,,,,
23468,96BRN5,Diesel,,,,,,,,,,,,,
23470,96BRN8,Diesel,,,,,,,,,,,,,
23471,96BRN9,Diesel,,,,,,,,,,,,,
23478,96BRP3,Diesel,,,,,,,,,,,,,
23479,96BRP5,Diesel,,,,,,,,,,,,,
23480,96BRP6,Diesel,,,,,,,,,,,,,
23489,96BRR2,Diesel,,,,,,,,,,,,,
23492,96BRR7,Diesel,,,,,,,,,,,,,
23493,96BRR8,Diesel,,,,,,,,,,,,,
23496,96BRS1,Diesel,,,,,,,,,,,,,
23497,96BRS2,Diesel,,,,,,,,,,,,,
23498,96BRS3,Diesel,,,,,,,,,,,,,
23499,96BRS4,Diesel,,,,,,,,,,,,,
23500,96BRS5,Diesel,,,,,,,,,,,,,
23501,96BRS6,Diesel,,,,,,,,,,,,,
23502,96BRS7,Diesel,,,,,,,,,,,,,
23503,96BRS9,Diesel,,,,,,,,,,,,,
23510,96BRT1,Diesel,,,,,,,,,,,,,
23511,96BRT2,Diesel,,,,,,,,,,,,,
23512,96BRT3,Diesel,,,,,,,,,,,,,
23514,96BRT5,Diesel,,,,,,,,,,,,,
23515,96BRT6,Diesel,6.6,7.6,199.0,,,,,,,,,,
23516,96BRT7,Diesel,,,,,,,,,,,,,
23525,96BRV2,Diesel,,,,,,,,,,,,,
23527,96BRV5,Elektriciteit,,,,,,,,,,,,87.0,125.0
23529,96BRV7,Diesel,,,,,,,,,,,,,
23530,96BRV8,Diesel,,,,,,,,,,,,,
23537,96BRX3,Diesel,,,,,,,,,,,,,
23538,96BRX4,Diesel,,,,,,,,,,,,,
23540,96BRX6,Diesel,,,,,,,,,,,,,
23542,96BRX8,Diesel,,,,,,,,,,,,,
23543,96BRX9,Diesel,,,,,,,,,,,,,
23548,96BRZ2,Diesel,,,,,,,,,,,,,
23549,96BRZ4,Diesel,,,,,,,,,,,,,
23550,96BRZ5,Diesel,,,,,,,,,,,,,
23551,96BRZ6,Diesel,,,,,,,,,,,,,
23552,96BRZ9,Diesel,,,,,,,,,,,,,
23556,96BSB1,Diesel,,,,,,,,,,,,,
23558,96BSB4,Diesel,,,,,,,,,,,,,
23559,96BSB5,Diesel,,,,,,,,,,,,,
23560,96BSB6,Diesel,,,,,,,,,,,,,
23561,96BSB7,Diesel,,,,,,,,,,,,,
23562,96BSB8,Diesel,,,,,,,,,,,,,
23563,96BSB9,Diesel,,,,,,,,,,,,,
23578,96BSF2,Diesel,,,,,,,,,,,,,
23581,96BSF5,Elektriciteit,,,,,,,,,,,,,
