,Kenteken,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch
173107,FBB96J,Benzine,,3.6,82.0,,,,,,,,,,
173137,FBB98K,Benzine,,,,,,,,,,,,,
173209,FBD01N,Elektriciteit,,,,,,,,,,,,,
173228,FBD02S,Benzine,,3.6,82.0,,,,,,,,,,
173236,FBD03G,Diesel,,,,,,,,,,,,,
173239,FBD03L,Benzine,,3.6,82.0,,,,,,,,,,
173253,FBD04L,Benzine,,3.6,82.0,,,,,,,,,,
173269,FBD05L,Benzine,,3.6,82.0,,,,,,,,,,
173283,FBD06L,Benzine,,3.6,82.0,,,,,,,,,,
173287,FBD06S,Benzine,,3.6,82.0,,,,,,,,,,
173299,FBD07L,Benzine,,3.6,82.0,,,,,,,,,,
173303,FBD07S,Benzine,,3.6,82.0,,,,,,,,,,
173313,FBD08L,Benzine,,3.6,82.0,,,,,,,,,,
173328,FBD09L,Benzine,,3.6,82.0,,,,,,,,,,
173358,FBD11P,Elektriciteit,,,,,,,,,,,,,
173381,FBD13G,Benzine,,,,,,,,,,,,,
173383,FBD13J,Benzine,,,,,,,,,,,,,
173385,FBD13L,Benzine,,3.6,82.0,,,,,,,,,,
173395,FBD14D,Benzine,,,,,,,,,,,,,
173407,FBD14X,Benzine,,,,,,,,,,,,,
173409,FBD15B,Elektriciteit,,,,,,,,,,,,,
173418,FBD15P,Elektriciteit,,,,,,,,,,,,,
173426,FBD16D,Benzine,,,,,,,,,,,,,
173438,FBD16Z,Benzine,,,,,,,,,,,,,
173462,FBD18L,Benzine,,,,,,,,,,,,,
173464,FBD18P,Elektriciteit,,,,,,,,,,,,,
173476,FBD19J,Benzine,,,,,,,,,,,,,
173487,FBD20B,Benzine,,,,,,,,,,,,,
173494,FBD20L,Benzine,,,,,,,,,,,,,
173508,FBD21L,Benzine,,,,,,,,,,,,,
173514,FBD21X,Benzine,,,,,,,,,,,,,
173524,FBD22P,Elektriciteit,,,,,,,,,,,,,
173526,FBD22S,Elektriciteit,,,,,,,,,,,1.9,,
173546,FBD24B,Elektriciteit,,,,,,,,,,,,,
173561,FBD24Z,Elektriciteit,,,,,,,,,,,,,
173572,FBD25S,Benzine,,2.6,57.0,,,,,,,,,,
173575,FBD25X,Benzine,,,,,,,,,,,,,
173607,FBD27Z,Elektriciteit,,,,,,,,,,,,,
173672,FBD32F,Benzine,,,,,,,,,,,,,
173673,FBD32G,Benzine,,,,,,,,,,,,,
173687,FBD33F,Benzine,,,,,,,,,,,,,
173741,FBD37D,Elektriciteit,,,,,,,,,,,,,
173771,FBD39D,Elektriciteit,,,,,,,,,,,0.7,,
173787,FBD40D,Elektriciteit,,,,,,,,,,,,,
173814,FBD41Z,Benzine,,,,,,,,,,,,,
173841,FBD43T,Benzine,,,,,,,,,,,,,
173868,FBD45P,Elektriciteit,,,,,,,,,,,,,
173875,FBD46B,Elektriciteit,,,,,,,,,,,,,
173880,FBD46J,Elektriciteit,,,,,,,,,,,,,
173920,FBD48Z,Benzine,,,,,,,,,,,,,
173921,FBD49B,Elektriciteit,,,,,,,,,,,,,
173948,FBD50V,Elektriciteit,,,,,,,,,,,,,
173951,FBD51B,Elektriciteit,,,,,,,,,,,,,
173986,FBD53J,Benzine,,,,,,,,,,,,,
173999,FBD54G,Benzine,,,,,,,,,,,,,
174000,FBD54H,Benzine,,,,,,,,,,,,,
174021,FBD55P,Benzine,,,,,,,,,,,,,
174025,FBD55X,Elektriciteit,,,,,,,,,,,,,
174054,FBD57Z,Benzine,,,,,,,,,,,,,
174062,FBD58L,Benzine,,,,,,,,,,,,,
174069,FBD58Z,Benzine,,,,,,,,,,,,,
174070,FBD59B,Benzine,,,,,,,,,,,,,
174071,FBD59D,Benzine,,,,,,,,,,,,,
174079,FBD59P,Benzine,,,,,,,,,,,,,
174096,FBD60Z,Benzine,,,,,,,,,,,,,
174104,FBD61N,Elektriciteit,,,,,,,,,,,,,
174105,FBD61P,Benzine,,,,,,,,,,,,,
174109,FBD61X,Elektriciteit,,,,,,,,,,,,,
174125,FBD63B,Elektriciteit,,,,,,,,,,,,,
174126,FBD63D,Benzine,,2.6,57.0,,,,,,,,,,
174133,FBD63P,Benzine,,,,,,,,,,,,,
174137,FBD63X,Elektriciteit,,,,,,,,,,,,,
174153,FBD65D,Benzine,,3.6,82.0,,,,,,,,,,
174178,FBD67B,Benzine,,,,,,,,,,,,,
174181,FBD67H,Benzine,,,,,,,,,,,,,
174194,FBD68G,Benzine,,,,,,,,,,,,,
174197,FBD68K,Benzine,,,,,,,,,,,,,
174202,FBD68S,Benzine,,,,,,,,,,,,,
174209,FBD69F,Benzine,,,,,,,,,,,,,
174214,FBD69N,Elektriciteit,,,,,,,,,,,,,
174215,FBD69R,Benzine,,,,,,,,,,,,,
174248,FBD72B,Elektriciteit,,,,,,,,,,,,,
174251,FBD72G,Benzine,,,,,,,,,,,,,
174261,FBD73B,Benzine,,,,,,,,,,,,,
174267,FBD73K,Benzine,,3.6,82.0,,,,,,,,,,
174274,FBD73X,Elektriciteit,,,,,,,,,,,,,
174276,FBD74B,Elektriciteit,,,,,,,,,,,,,
174298,FBD75L,Benzine,,,,,,,,,,,,,
174299,FBD75N,Elektriciteit,,,,,,,,,,,,,
174316,FBD76R,Elektriciteit,,,,,,,,,,,,,
174322,FBD77B,Benzine,,,,,,,,,,,,,
174326,FBD77H,Benzine,,,,,,,,,,,,,
174335,FBD78B,Elektriciteit,,,,,,,,,,,,,
174344,FBD78P,Elektriciteit,,,,,,,,,,,,,
174366,FBD80B,Elektriciteit,,,,,,,,,,,,,
174369,FBD80G,Benzine,,,,,,,,,,,,,
174384,FBD81F,Elektriciteit,,,,,,,,,,,,,
174386,FBD81H,Elektriciteit,,,,,,,,,,,,,
174388,FBD81K,Benzine,,3.6,82.0,,,,,,,,,,
174390,FBD81N,Benzine,,,,,,,,,,,,,
174402,FBD82H,Elektriciteit,,,,,,,,,,,,,
174419,FBD83K,Benzine,,3.6,82.0,,,,,,,,,,
174433,FBD84H,Elektriciteit,,,,,,,,,,,,,
174451,FBD85K,Benzine,,3.6,82.0,,,,,,,,,,
174457,FBD85X,Benzine,,,,,,,,,,,,,
174461,FBD86F,Benzine,,,,,,,,,,,,,
174472,FBD86V,Elektriciteit,,,,,,,,,,,,,
174483,FBD87N,Benzine,,,,,,,,,,,,,
174492,FBD88D,Benzine,,,,,,,,,,,,,
174493,FBD88F,Elektriciteit,,,,,,,,,,,,,
174498,FBD88L,Benzine,,,,,,,,,,,,,
174499,FBD88N,Elektriciteit,,,,,,,,,,,,,
174504,FBD88V,Benzine,,,,,,,,,,,,,
174505,FBD88X,Benzine,,,,,,,,,,,,,
174515,FBD89N,Benzine,,,,,,,,,,,,,
174524,FBD90F,Elektriciteit,,,,,,,,,,,,,
174533,FBD90V,Elektriciteit,,,,,,,,,,,,,
174552,FBD92F,Elektriciteit,,,,,,,,,,,,,
174556,FBD92K,Benzine,,3.6,82.0,,,,,,,,,,
174610,FBD95X,Benzine,,,,,,,,,,,,,
174634,FBD97R,Benzine,,3.6,82.0,,,,,,,,,,
174654,FBD98X,Benzine,,,,,,,,,,,,,
174661,FBD99K,Benzine,,,,,,,,,,,,,
174722,FBF01V,Benzine,,3.6,82.0,,,,,,,,,,
174779,FBF05Z,Elektriciteit,,,,,,,,,,,0.6,,
174804,FBF07S,Elektriciteit,,,,,,,,,,,,,
174843,FBF10N,Elektriciteit,,,,,,,,,,,,,
174862,FBF11S,Elektriciteit,,,,,,,,,,,,,
174887,FBF13P,Benzine,,,,,,,,,,,,,
174889,FBF13S,Elektriciteit,,,,,,,,,,,,,
174953,FBF18L,Benzine,,,,,,,,,,,,,
174976,FBF20F,Benzine,,3.6,82.0,,,,,,,,,,
174990,FBF21F,Benzine,,3.6,82.0,,,,,,,,,,
174994,FBF21L,Benzine,,3.6,82.0,,,,,,,,,,
175010,FBF22L,Benzine,,3.6,82.0,,,,,,,,,,
175012,FBF22P,Elektriciteit,,,,,,,,,,,,,
175021,FBF23F,Benzine,,,,,,,,,,,,,
175035,FBF24F,Benzine,,3.6,82.0,,,,,,,,,,
175045,FBF24V,Benzine,,2.7,59.0,,,,,,,,,,
175093,FBF28H,Elektriciteit,,,,,,,,,,,,,
175098,FBF28P,Benzine,,,,,,,,,,,,,
175110,FBF29J,Benzine,,,,,,,,,,,,,
175135,FBF30Z,Benzine,,,,,,,,,,,,,
175141,FBF31J,Benzine,,,,,,,,,,,,,
175143,FBF31L,Benzine,,2.6,57.0,,,,,,,,,,
175150,FBF31Z,Benzine,,,,,,,,,,,,,
175171,FBF33J,Benzine,,,,,,,,,,,,,
175193,FBF34V,Benzine,,2.7,59.0,,,,,,,,,,
175244,FBF38F,Benzine,,,,,,,,,,,,,
175303,FBF42G,Benzine,,,,,,,,,,,,,
175305,FBF42J,Benzine,,,,,,,,,,,,,
175319,FBF43J,Benzine,,,,,,,,,,,,,
175332,FBF44G,Benzine,,,,,,,,,,,,,
175334,FBF44J,Benzine,,,,,,,,,,,,,
175391,FBF48Z,Elektriciteit,,,,,,,,,,,0.6,,
175457,FBF53S,Elektriciteit,,,,,,,,,,,,,
175458,FBF53T,Benzine,,2.6,57.0,,,,,,,,,,
175568,FBF61P,Elektriciteit,,,,,,,,,,,,,
175576,FBF62D,Elektriciteit,,,,,,,,,,,,,
175618,FBF64V,Benzine,,,,,,,,,,,,,
175632,FBF65T,Benzine,,3.6,82.0,,,,,,,,,,
175646,FBF66T,Benzine,,3.6,82.0,,,,,,,,,,
175648,FBF66Z,Benzine,,,,,,,,,,,,,
175673,FBF68Z,Benzine,,,,,,,,,,,,,
175726,FBF72V,Benzine,,,,,,,,,,,,,
175837,FBF80L,Benzine,,,,,,,,,,,,,
175839,FBF80P,Benzine,,,,,,,,,,,,,
175912,FBF85T,Benzine,,3.6,82.0,,,,,,,,,,
175953,FBF88X,Elektriciteit,,,,,,,,,,,,,
175982,FBF91D,Benzine,,2.6,57.0,,,,,,,,,,
176001,FBF92J,Benzine,,,,,,,,,,,,,
176010,FBF93D,Benzine,,2.6,57.0,,,,,,,,,,
176025,FBF94D,Benzine,,3.14,76.0,,,,,,,,,,
176053,FBF96D,Benzine,,2.6,57.0,,,,,,,,,,
176067,FBF97G,Benzine,,,,,,,,,,,,,
176082,FBF98G,Benzine,,,,,,,,,,,,,
176086,FBF98L,Elektriciteit,,,,,,,,,,,1.15,,
176132,FBG01J,Benzine,,3.6,82.0,,,,,,,,,,
176133,FBG01K,Benzine,,3.0,70.0,,,,,,,,,,
176143,FBG02D,Elektriciteit,,,,,,,,,,,,,
176146,FBG02J,Benzine,,3.6,82.0,,,,,,,,,,
176147,FBG02K,Benzine,,3.0,70.0,,,,,,,,,,
176159,FBG03H,Benzine,,3.6,82.0,,,,,,,,,,
176160,FBG03J,Benzine,,3.6,82.0,,,,,,,,,,
176174,FBG04J,Benzine,,3.6,82.0,,,,,,,,,,
176180,FBG04S,Benzine,,,,,,,,,,,,,
176187,FBG05H,Benzine,,3.6,82.0,,,,,,,,,,
176188,FBG05J,Benzine,,3.6,82.0,,,,,,,,,,
176220,FBG07K,Benzine,,3.0,70.0,,,,,,,,,,
176233,FBG08H,Benzine,,3.6,82.0,,,,,,,,,,
176234,FBG08J,Benzine,,3.6,82.0,,,,,,,,,,
176250,FBG09J,Benzine,,3.6,82.0,,,,,,,,,,
176265,FBG10J,Benzine,,3.6,82.0,,,,,,,,,,
176280,FBG11J,Benzine,,3.6,82.0,,,,,,,,,,
176293,FBG12J,Benzine,,3.6,82.0,,,,,,,,,,
176303,FBG12Z,Benzine,,,,,,,,,,,,,
176314,FBG13S,Benzine,,,,,,,,,,,,,
176323,FBG14J,Benzine,,3.6,82.0,,,,,,,,,,
176333,FBG14Z,Benzine,,,,,,,,,,,,,
176342,FBG15P,Benzine,,,,,,,,,,,,,
176371,FBG17N,Benzine,,,,,,,,,,,,,
176393,FBG19B,Benzine,,,,,,,,,,,,,
176400,FBG19N,Benzine,,,,,,,,,,,,,
176401,FBG19P,Benzine,,,,,,,,,,,,,
176440,FBG22J,Benzine,,3.6,82.0,,,,,,,,,,
176456,FBG23K,Benzine,,3.6,82.0,,,,,,,,,,
176457,FBG23L,Elektriciteit,,,,,,,,,,,,,
176469,FBG24J,Benzine,,3.6,82.0,,,,,,,,,,
176484,FBG25H,Benzine,,3.6,82.0,,,,,,,,,,
176485,FBG25J,Benzine,,3.6,82.0,,,,,,,,,,
176486,FBG25K,Benzine,,3.6,82.0,,,,,,,,,,
176505,FBG26R,Benzine,,2.7,59.0,,,,,,,,,,
176533,FBG28N,Elektriciteit,,,,,,,,,,,,,
176550,FBG29R,Benzine,,2.7,59.0,,,,,,,,,,
176564,FBG30R,Benzine,,2.7,59.0,,,,,,,,,,
176580,FBG31T,Elektriciteit,,,,,,,,,,,,,
176588,FBG32H,Benzine,,3.6,82.0,,,,,,,,,,
176620,FBG34K,Benzine,,2.6,57.0,,,,,,,,,,
176672,FBG37T,Elektriciteit,,,,,,,,,,,,,
176723,FBG41G,Benzine,,,,,,,,,,,,,
176731,FBG41S,Elektriciteit,,,,,,,,,,,,,
176741,FBG42J,Benzine,,3.6,82.0,,,,,,,,,,
176784,FBG45G,Benzine,,,,,,,,,,,,,
176820,FBG47T,Elektriciteit,,,,,,,,,,,,,
176828,FBG48J,Benzine,,,,,,,,,,,,,
176844,FBG49J,Benzine,,3.6,82.0,,,,,,,,,,
176880,FBG51R,Benzine,,,,,,,,,,,,,
176910,FBG53R,Benzine,,,,,,,,,,,,,
176964,FBG57J,Benzine,,,,,,,,,,,,,
176975,FBG58B,Elektriciteit,,,,,,,,,,,,,
177004,FBG60G,Benzine,,,,,,,,,,,,,
177006,FBG60J,Benzine,,3.6,82.0,,,,,,,,,,
177022,FBG61J,Benzine,,3.6,82.0,,,,,,,,,,
177052,FBG63K,Benzine,,,,,,,,,,,,,
177074,FBG64X,Benzine,,2.6,57.0,,,,,,,,,,
177080,FBG65J,Benzine,,3.6,82.0,,,,,,,,,,
177090,FBG65Z,Elektriciteit,,,,,,,,,,,,,
177104,FBG66X,Benzine,,2.6,57.0,,,,,,,,,,
177110,FBG67J,Benzine,,3.6,82.0,,,,,,,,,,
177115,FBG67T,Elektriciteit,,,,,,,,,,,,,
177116,FBG67X,Benzine,,2.6,57.0,,,,,,,,,,
177152,FBG70S,Benzine,,,,,,,,,,,,,
177172,FBG72J,Benzine,,3.6,82.0,,,,,,,,,,
177183,FBG73B,Elektriciteit,,,,,,,,,,,,,
177190,FBG73N,Benzine,,,,,,,,,,,,,
177209,FBG74T,Elektriciteit,,,,,,,,,,,,,
177217,FBG75J,Benzine,,3.6,82.0,,,,,,,,,,
177236,FBG76P,Elektriciteit,,,,,,,,,,,,,
177251,FBG77P,Elektriciteit,,,,,,,,,,,,,
177261,FBG78J,Benzine,,3.6,82.0,,,,,,,,,,
177277,FBG79J,Benzine,,3.6,82.0,,,,,,,,,,
177305,FBG81D,Benzine,,,,,,,,,,,,,
177309,FBG81J,Benzine,,3.6,82.0,,,,,,,,,,
177328,FBG82S,Benzine,,,,,,,,,,,,,
177349,FBG84F,Benzine,,,,,,,,,,,,,
177387,FBG86P,Elektriciteit,,,,,,,,,,,,,
177413,FBG88J,Benzine,,2.3,53.0,,,,,,,,,,
177425,FBG89F,Benzine,,,,,,,,,,,,,
177432,FBG89P,Elektriciteit,,,,,,,,,,,,,
177445,FBG90K,Benzine,,,,,,,,,,,,,
177460,FBG91L,Benzine,,,,,,,,,,,,,
177472,FBG92G,Benzine,,3.6,82.0,,,,,,,,,,
177483,FBG92X,Benzine,,3.6,82.0,,,,,,,,,,
177487,FBG93G,Benzine,,3.6,82.0,,,,,,,,,,
177489,FBG93J,Benzine,,2.3,53.0,,,,,,,,,,
177501,FBG94H,Benzine,,3.6,82.0,,,,,,,,,,
177532,FBG96H,Benzine,,3.6,82.0,,,,,,,,,,
177537,FBG96P,Elektriciteit,,,,,,,,,,,,,
177548,FBG97H,Benzine,,3.6,82.0,,,,,,,,,,
177575,FBG99D,Elektriciteit,,,,,,,,,,,,,
177584,FBG99R,Benzine,,,,,,,,,,,,,
177629,FBH01R,Elektriciteit,,,,,,,,,,,,,
177656,FBH03L,Benzine,,2.6,57.0,,,,,,,,,,
177669,FBH04L,Benzine,,2.6,57.0,,,,,,,,,,
177684,FBH05K,Benzine,,2.9,65.0,,,,,,,,,,
177685,FBH05L,Benzine,,,,,,,,,,,,,
177690,FBH05T,Benzine,,2.9,65.0,,,,,,,,,,
177692,FBH05X,Benzine,,,,,,,,,,,,,
177700,FBH06L,Benzine,,,,,,,,,,,,,
177705,FBH06T,Benzine,,,,,,,,,,,,,
177714,FBH07J,Elektriciteit,,,,,,,,,,,,,
177747,FBH09L,Benzine,,,,,,,,,,,,,
177782,FBH11T,Benzine,,2.9,65.0,,,,,,,,,,
177792,FBH12K,Benzine,,2.9,65.0,,,,,,,,,,
177793,FBH12L,Benzine,,,,,,,,,,,,,
177801,FBH12Z,Benzine,,,,,,,,,,,,,
177804,FBH13F,Elektriciteit,,,,,,,,,,,,,
177809,FBH13L,Benzine,,,,,,,,,,,,,
177815,FBH13V,Benzine,,,,,,,,,,,,,
177820,FBH14G,Benzine,,,,,,,,,,,,,
177823,FBH14K,Benzine,,2.9,65.0,,,,,,,,,,
177838,FBH15K,Benzine,,2.9,65.0,,,,,,,,,,
177844,FBH15T,Benzine,,2.9,65.0,,,,,,,,,,
177845,FBH15V,Benzine,,,,,,,,,,,,,
177846,FBH16B,Elektriciteit,,,,,,,,,,,,,
177851,FBH16K,Benzine,,2.9,65.0,,,,,,,,,,
177857,FBH16T,Benzine,,2.9,65.0,,,,,,,,,,
177868,FBH17L,Benzine,,,,,,,,,,,,,
177874,FBH17V,Benzine,,,,,,,,,,,,,
177896,FBH19H,Elektriciteit,,,,,,,,,,,,,
177898,FBH19K,Benzine,,2.9,65.0,,,,,,,,,,
177950,FBH22T,Benzine,,2.9,65.0,,,,,,,,,,
177966,FBH23T,Benzine,,2.9,65.0,,,,,,,,,,
178005,FBH26H,Benzine,,,,,,,,,,,,,
178012,FBH26S,Benzine,,,,,,,,,,,,,
178015,FBH26X,Benzine,,,,,,,,,,,,,
178031,FBH27X,Benzine,,,,,,,,,,,,,
178036,FBH28G,Benzine,,,,,,,,,,,,,
178052,FBH29G,Benzine,,,,,,,,,,,,,
178063,FBH29X,Benzine,,,,,,,,,,,,,
178072,FBH30L,Benzine,,,,,,,,,,,,,
178084,FBH31G,Benzine,,,,,,,,,,,,,
178087,FBH31K,Benzine,,2.9,65.0,,,,,,,,,,
178090,FBH31P,Benzine,,,,,,,,,,,,,
178103,FBH32K,Benzine,,2.9,65.0,,,,,,,,,,
178104,FBH32L,Benzine,,,,,,,,,,,,,
178124,FBH33X,Benzine,,,,,,,,,,,,,
178180,FBH37L,Benzine,,,,,,,,,,,,,
178194,FBH38J,Benzine,,2.9,65.0,,,,,,,,,,
178229,FBH40R,Benzine,,,,,,,,,,,,,
178234,FBH40Z,Benzine,,,,,,,,,,,,,
178243,FBH41P,Benzine,,,,,,,,,,,,,
178244,FBH41R,Elektriciteit,,,,,,,,,,,,,
178304,FBH45L,Benzine,,,,,,,,,,,,,
178309,FBH45T,Benzine,,2.9,65.0,,,,,,,,,,
178318,FBH46J,Benzine,,2.1,47.0,,,,,,,,,,
178320,FBH46L,Benzine,,,,,,,,,,,,,
178336,FBH47L,Benzine,,,,,,,,,,,,,
178352,FBH48L,Benzine,,,,,,,,,,,,,
178357,FBH48T,Benzine,,2.1,47.0,,,,,,,,,,
178367,FBH49L,Benzine,,,,,,,,,,,,,
178383,FBH50L,Benzine,,,,,,,,,,,,,
178388,FBH50T,Benzine,,2.1,47.0,,,,,,,,,,
178399,FBH51L,Benzine,,,,,,,,,,,,,
178404,FBH51T,Benzine,,2.1,47.0,,,,,,,,,,
178415,FBH52L,Benzine,,,,,,,,,,,,,
178420,FBH52T,Benzine,,2.1,47.0,,,,,,,,,,
178422,FBH52X,Benzine,,,,,,,,,,,,,
178423,FBH52Z,Benzine,,,,,,,,,,,,,
178425,FBH53D,Elektriciteit,,,,,,,,,,,,,
178428,FBH53J,Benzine,,2.1,47.0,,,,,,,,,,
178429,FBH53K,Benzine,,2.9,65.0,,,,,,,,,,
178435,FBH53T,Benzine,,2.1,47.0,,,,,,,,,,
178446,FBH54L,Benzine,,,,,,,,,,,,,
178471,FBH56F,Benzine,,,,,,,,,,,,,
178481,FBH56T,Benzine,,2.1,47.0,,,,,,,,,,
178483,FBH56X,Benzine,,,,,,,,,,,,,
178484,FBH56Z,Elektriciteit,,,,,,,,,,,,,
178493,FBH57P,Elektriciteit,,,,,,,,,,,,,
178569,FBH62P,Benzine,,,,,,,,,,,,,
178570,FBH62R,Elektriciteit,,,,,,,,,,,,,
178572,FBH62T,Benzine,,2.1,47.0,,,,,,,,,,
178573,FBH62V,Benzine,,,,,,,,,,,,,
178582,FBH63L,Benzine,,,,,,,,,,,,,
178591,FBH64D,Elektriciteit,,,,,,,,,,,,,
178617,FBH65V,Elektriciteit,,,,,,,,,,,,,
178632,FBH66T,Benzine,,2.1,47.0,,,,,,,,,,
178643,FBH67N,Benzine,,,,,,,,,,,,,
178650,FBH67Z,Benzine,,,,,,,,,,,,,
178657,FBH68K,Benzine,,2.9,65.0,,,,,,,,,,
178659,FBH68N,Benzine,,,,,,,,,,,,,
178667,FBH69B,Benzine,,,,,,,,,,,,,
178679,FBH69T,Benzine,,2.1,47.0,,,,,,,,,,
178694,FBH70T,Benzine,,2.1,47.0,,,,,,,,,,
178726,FBH72X,Benzine,,,,,,,,,,,,,
178728,FBH73B,Benzine,,,,,,,,,,,,,
178732,FBH73J,Benzine,,2.9,65.0,,,,,,,,,,
178740,FBH73Z,Elektriciteit,,,,,,,,,,,,,
178752,FBH74S,Benzine,,2.6,57.0,,,,,,,,,,
178792,FBH77K,Benzine,,2.9,65.0,,,,,,,,,,
178797,FBH77S,Benzine,,3.6,82.0,,,,,,,,,,
178814,FBH78T,Benzine,,2.1,47.0,,,,,,,,,,
178815,FBH78V,Benzine,,,,,,,,,,,,,
178824,FBH79L,Benzine,,,,,,,,,,,,,
178829,FBH79T,Benzine,,2.1,47.0,,,,,,,,,,
178849,FBH81F,Elektriciteit,,,,,,,,,,,,,
178863,FBH82J,Benzine,,2.9,65.0,,,,,,,,,,
178873,FBH82Z,Benzine,,,,,,,,,,,,,
178878,FBH83J,Benzine,,2.6,57.0,,,,,,,,,,
178884,FBH83S,Benzine,,2.9,65.0,,,,,,,,,,
