,Kenteken,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch
138931,F879HN,Elektriciteit,,,,,,,,,,,,,
171729,FBB01N,Benzine,,3.6,82.0,,,,,,,,,,
171752,FBB03G,Benzine,,,,,,,,,,,,,
171770,FBB04P,Elektriciteit,,,,,,,,,,,,,
171782,FBB05N,Benzine,,,,,,,,,,,,,
171791,FBB06G,Benzine,,,,,,,,,,,,,
171794,FBB06K,Benzine,,,,,,,,,,,,,
171799,FBB06S,Benzine,,,,,,,,,,,,,
171840,FBB09K,Benzine,,3.6,82.0,,,,,,,,,,
171870,FBB11L,Benzine,,3.6,82.0,,,,,,,,,,
171885,FBB12L,Benzine,,3.6,82.0,,,,,,,,,,
171946,FBB16S,Benzine,,,,,,,,,,,,,
171957,FBB17L,Benzine,,3.6,82.0,,,,,,,,,,
171958,FBB17N,Benzine,,3.6,82.0,,,,,,,,,,
171961,FBB17S,Benzine,,,,,,,,,,,,,
171973,FBB18N,Benzine,,3.6,82.0,,,,,,,,,,
171991,FBB19S,Benzine,,,,,,,,,,,,,
172001,FBB20L,Benzine,,3.6,82.0,,,,,,,,,,
172006,FBB20T,Benzine,,,,,,,,,,,,,
172039,FBB23K,Benzine,,3.6,82.0,,,,,,,,,,
172053,FBB24N,Benzine,,3.6,82.0,,,,,,,,,,
172067,FBB25L,Benzine,,3.6,82.0,,,,,,,,,,
172143,FBB30S,Benzine,,,,,,,,,,,,,
172230,FBB36N,Benzine,,3.6,82.0,,,,,,,,,,
172248,FBB37R,Benzine,,,,,,,,,,,,,
172252,FBB37Z,Benzine,,,,,,,,,,,,,
172271,FBB39G,Benzine,,,,,,,,,,,,,
172273,FBB39J,Benzine,,,,,,,,,,,,,
172302,FBB41G,Elektriciteit,,,,,,,,,,,,,
172320,FBB42K,Benzine,,,,,,,,,,,,,
172322,FBB42N,Benzine,,2.6,57.0,,,,,,,,,,
172367,FBB45L,Benzine,,3.6,82.0,,,,,,,,,,
172384,FBB46N,Benzine,,2.6,57.0,,,,,,,,,,
172424,FBB49N,Benzine,,3.6,82.0,,,,,,,,,,
172433,FBB50G,Benzine,,,,,,,,,,,,,
172449,FBB51G,Benzine,,,,,,,,,,,,,
172467,FBB52N,Benzine,,2.6,57.0,,,,,,,,,,
172492,FBB54G,Benzine,,,,,,,,,,,,,
172498,FBB54P,Benzine,,,,,,,,,,,,,
172506,FBB55F,Benzine,,,,,,,,,,,,,
172555,FBB58L,Benzine,,3.6,82.0,,,,,,,,,,
172570,FBB59L,Benzine,,3.6,82.0,,,,,,,,,,
172574,FBB59S,Benzine,,,,,,,,,,,,,
172584,FBB60K,Benzine,,3.6,82.0,,,,,,,,,,
172615,FBB62L,Benzine,,3.6,82.0,,,,,,,,,,
172629,FBB63L,Benzine,,3.6,82.0,,,,,,,,,,
172632,FBB63R,Benzine,,,,,,,,,,,,,
172633,FBB63S,Benzine,,,,,,,,,,,,,
172651,FBB65D,Elektriciteit,,,,,,,,,,,,,
172668,FBB66F,Benzine,,,,,,,,,,,,,
172712,FBB69F,Benzine,,,,,,,,,,,,,
172748,FBB71P,Elektriciteit,,,,,,,,,,,,,
172761,FBB72L,Benzine,,3.6,82.0,,,,,,,,,,
172776,FBB73L,Benzine,,3.6,82.0,,,,,,,,,,
172788,FBB74H,Benzine,,,,,,,,,,,,,
172805,FBB75L,Benzine,,3.6,82.0,,,,,,,,,,
172862,FBB79K,Benzine,,3.6,82.0,,,,,,,,,,
172863,FBB79L,Benzine,,3.6,82.0,,,,,,,,,,
172879,FBB80L,Benzine,,3.6,82.0,,,,,,,,,,
172896,FBB81N,Benzine,,,,,,,,,,,,,
172900,FBB81V,Benzine,,2.9,65.0,,,,,,,,,,
172907,FBB82K,Benzine,,3.6,82.0,,,,,,,,,,
172908,FBB82L,Benzine,,3.6,82.0,,,,,,,,,,
172924,FBB83L,Benzine,,3.6,82.0,,,,,,,,,,
172933,FBB84F,Benzine,,,,,,,,,,,,,
172945,FBB84X,Benzine,,,,,,,,,,,,,
172983,FBB87L,Benzine,,3.6,82.0,,,,,,,,,,
173007,FBB89D,Elektriciteit,,,,,,,,,,,1.6,,
173041,FBB91L,Benzine,,3.6,82.0,,,,,,,,,,
173049,FBB92D,Benzine,,2.6,57.0,,,,,,,,,,
173096,FBB95N,Benzine,,,,,,,,,,,,,
173104,FBB96D,Benzine,,2.6,57.0,,,,,,,,,,
